								Y/N	Comments
shock	noun	eng	discharge	noun	eng	0	0.833333	N	Similar, but no
entirely	adverb	eng	altogether	adverb	eng	0	0.84	Y	
churn up	verb	eng	wave	verb	eng	0	0.84	N	
background	noun	eng	backdrop	noun	eng	0	0.98	Y	
range	noun	eng	register	noun	eng	0	1	N	
gun	noun	eng	firearm	noun	eng	0	0.666667	Y	
sorrow	noun	eng	pity	noun	eng	0	0.84	N	Similar sentiment, but no
bad	adjective	eng	evil	adjective	eng	0	0.98	Y	Sort of, evil is much stronger though
endanger	verb	eng	jeopardize	verb	eng	0	0.666667	Y	
arrangement	noun	eng	chord	noun	eng	0	0.533333	N	
unveil	verb	eng	reveal	verb	eng	0	0.84	Y	
trek	noun	eng	hike	noun	eng	0	1	Y	Very similar, difference is too technical
subway	noun	eng	metre	noun	eng	0	1	N	
fat	adjective	eng	thick	adjective	eng	0	0.98	Y	Very similar, difference is too technical
boundary	noun	eng	limit	noun	eng	0	0.98	Y	
prompt	verb	eng	incite	verb	eng	0	1	Y	
geographical	adjective	eng	geographic	adjective	eng	0	1	Y	
the other way around	adverb	eng	upside down	adverb	eng	0	1	Y	
untangle	verb	eng	disentangle	verb	eng	0	0.98	Y	
on his part	adverb	eng	on their part	adverb	eng	0	0.84	Y	Same in gender neutral contexts?
torch	noun	eng	lantern	noun	eng	0	0.98	Y	Very similar, difference is too technical
rhizome	noun	eng	rootstock	noun	eng	0	0.833333	Y	
dismal	adjective	eng	dreary	adjective	eng	0	0.5	Y	Sort of, dreary is much stronger though
here	adverb	eng	up to here	adverb	eng	0	1	N	
medium	noun	eng	means	noun	eng	0	1	Y	
continually	adverb	eng	week in week out	adverb	eng	0	1	Y	Sort of, continually is much stronger though
wet	adjective	eng	damp	adjective	eng	0	0.746667	Y	Sort of, wet is much stronger though
in a little while	adverb	eng	there and then	adverb	eng	0	1	N	
stocking	noun	eng	average	noun	eng	0	0.84	N	
move away	verb	eng	separate	verb	eng	0	0.84	N	Similar, but no
magnify	verb	eng	heighten	verb	eng	0	0.98	Y	
stroke	verb	eng	fondle	verb	eng	0	0.84	Y	
folly	noun	eng	insanity	noun	eng	0	0.98	Y	Sort of, insanity is much stronger though
sustain	verb	eng	support	verb	eng	0	0.746667	Y	
tackle	verb	eng	accost	verb	eng	0	0.666667	Y	Sort of, accost is much stronger though
much more	adverb	eng	all the more	adverb	eng	0	1	N	Similar, but no
brand	noun	eng	make	noun	eng	0	1	Y	
dispose	verb	eng	position	verb	eng	0	1	N	
stubbornly	adverb	eng	obstinately	adverb	eng	0	1	Y	
soft	adjective	eng	mushy	adjective	eng	0	1	Y	
fetus	noun	eng	foetus	noun	eng	0	1	Y	
amateur	adjective	eng	keen	adjective	eng	0	0.746667	N	Similar, but no
condemnation	noun	eng	conviction	noun	eng	0	0.84	N	Similar, but no
regional	adjective	eng	local	adjective	eng	0	0.6	Y	
untrue	adjective	eng	counterfeit	adjective	eng	0	0.533333	Y	
apt	adjective	eng	appropriate	adjective	eng	0	0.84	Y	
axis	noun	eng	axle	noun	eng	0	1	Y	Sort of
allowance	noun	eng	pension	noun	eng	0	1	Y	Sort of
rating	noun	eng	assessment	noun	eng	0	0.84	N	Similar, but no
ease	noun	eng	facility	noun	eng	0	1	N	
fight	verb	eng	struggle	verb	eng	0	1	Y	Sort of, fight is much stronger though
adamant	adjective	eng	steadfast	adjective	eng	0	0.533333	Y	
sling	verb	eng	pitch	verb	eng	0	0.98	Y	
flourish	verb	eng	bloom	verb	eng	0	0.98	Y	Sort of
