"qualque"-determiner-oc "algun"-determiner-ca
"algun"-determiner-ca "qualque"-determiner-oc
"certan"-determiner-oc "cert"-determiner-ca
"cert"-determiner-ca "certan"-determiner-oc
"cert"-determiner-ca "cèrt"-determiner-oc
"cèrt"-determiner-oc "cert"-determiner-ca
"eth"-determiner-oc "el"-determiner-ca
"el"-determiner-ca "eth"-determiner-oc
"el"-determiner-ca "lo"-determiner-oc
"lo"-determiner-oc "el"-determiner-ca
"este"-determiner-ca "aguest"-determiner-oc
"aguest"-determiner-oc "este"-determiner-ca
"aguest"-determiner-oc "aquest"-determiner-ca
"aquest"-determiner-ca "aguest"-determiner-oc
"aquest"-determiner-ca "aqueste"-determiner-oc
"aqueste"-determiner-oc "aquest"-determiner-ca
"eixe"-determiner-ca "aquel"-determiner-oc
"eixe"-determiner-ca "aqueth"-determiner-oc
"aquel"-determiner-oc "eixe"-determiner-ca
"aquel"-determiner-oc "aqueix"-determiner-ca
"aquel"-determiner-oc "aquell"-determiner-ca
"aqueth"-determiner-oc "eixe"-determiner-ca
"aqueth"-determiner-oc "aqueix"-determiner-ca
"aqueth"-determiner-oc "aquell"-determiner-ca
"aqueix"-determiner-ca "aquel"-determiner-oc
"aqueix"-determiner-ca "aqueth"-determiner-oc
"aquell"-determiner-ca "aquel"-determiner-oc
"aquell"-determiner-ca "aqueth"-determiner-oc
"liurament"-adverb-oc "lliurement"-adverb-ca
"lliurement"-adverb-ca "liurament"-adverb-oc
"publicament"-adverb-oc "públicament"-adverb-ca
"públicament"-adverb-ca "publicament"-adverb-oc
"aparentament"-adverb-oc "aparentment"-adverb-ca
"aparentment"-adverb-ca "aparentament"-adverb-oc
"probablament"-adverb-oc "probablement"-adverb-ca
"probablement"-adverb-ca "probablament"-adverb-oc
"dilhèu"-adverb-oc "potser"-adverb-ca
"potser"-adverb-ca "dilhèu"-adverb-oc
"potser"-adverb-ca "benlèu"-adverb-oc
"possiblement"-adverb-ca "possiblament"-adverb-oc
"possiblament"-adverb-oc "possiblement"-adverb-ca
"benlèu"-adverb-oc "potser"-adverb-ca
"alhora"-adverb-ca "ath temps"-adverb-oc
"alhora"-adverb-ca "ath madeish viatge"-adverb-oc
"alhora"-adverb-ca "ath madeish temps"-adverb-oc
"alhora"-adverb-ca "ath còp"-adverb-oc
"alhora"-adverb-ca "a l'encòp"-adverb-oc
"ath temps"-adverb-oc "alhora"-adverb-ca
"ath madeish viatge"-adverb-oc "alhora"-adverb-ca
