","-comma-eo ","-comma-ca
","-comma-ca ","-comma-eo
"Abisenio"-properNoun-eo "Abissínia"-properNoun-ca
"Abissínia"-properNoun-ca "Abisenio"-properNoun-eo
"abismo"-noun-eo "estimball"-noun-ca
"estimball"-noun-ca "abismo"-noun-eo
"ablativo"-noun-eo "ablatiu"-noun-ca
"ablatiu"-noun-ca "ablativo"-noun-eo
"abnegacio"-noun-eo "renunciament"-noun-ca
"renunciament"-noun-ca "abnegacio"-noun-eo
"aboco"-noun-eo "abecedari"-noun-ca
"aboco"-noun-eo "abecé"-noun-ca
"abecedari"-noun-ca "aboco"-noun-eo
"abecedari"-noun-ca "alfabeto"-noun-eo
"abecedari"-noun-ca "alfabetumo"-noun-eo
"abecé"-noun-ca "aboco"-noun-eo
"alfabeto"-noun-eo "abecedari"-noun-ca
"alfabetumo"-noun-eo "abecedari"-noun-ca
"aborigena"-adjective-eo "aborigen"-adjective-ca
"aborigen"-adjective-ca "aborigena"-adjective-eo
"abortaĵo"-noun-eo "avortó"-noun-ca
"avortó"-noun-ca "abortaĵo"-noun-eo
"aĉetkapablo"-noun-eo "poder adquisitiu"-noun-ca
"poder adquisitiu"-noun-ca "aĉetkapablo"-noun-eo
"administrejo"-noun-eo "gestoria"-noun-ca
"gestoria"-noun-ca "administrejo"-noun-eo
"admono"-noun-eo "amonestament"-noun-ca
"amonestament"-noun-ca "admono"-noun-eo
"adresanto"-noun-eo "remitent"-noun-ca
"remitent"-noun-ca "adresanto"-noun-eo
"aflikta"-adjective-eo "anguniós"-adjective-ca
"anguniós"-adjective-ca "aflikta"-adjective-eo
"aflikti"-verb-eo "atribolar"-verb-ca
"atribolar"-verb-ca "aflikti"-verb-eo
"afliktiĝo"-noun-eo "compunció"-noun-ca
"compunció"-noun-ca "afliktiĝo"-noun-eo
"agavo"-noun-eo "atzavara"-noun-ca
"atzavara"-noun-ca "agavo"-noun-eo
"agitiĝo"-noun-eo "desfici"-noun-ca
"desfici"-noun-ca "agitiĝo"-noun-eo
"agrafi"-verb-eo "engafar"-verb-ca
"agrafi"-verb-eo "grapar"-verb-ca
"engafar"-verb-ca "agrafi"-verb-eo
"grapar"-verb-ca "agrafi"-verb-eo
"agrafo"-noun-eo "gafa"-noun-ca
"agrafo"-noun-eo "gafet"-noun-ca
"agrafo"-noun-eo "tancador"-noun-ca
"gafa"-noun-ca "agrafo"-noun-eo
"gafa"-noun-ca "krampo"-noun-eo
"gafet"-noun-ca "agrafo"-noun-eo
"tancador"-noun-ca "agrafo"-noun-eo
"krampo"-noun-eo "gafa"-noun-ca
"krampo"-noun-eo "pinces"-noun-ca
"agresa"-adjective-eo "agressor"-adjective-ca
"agressor"-adjective-ca "agresa"-adjective-eo
"ajlo"-noun-eo "allassa"-noun-ca
"ajlo"-noun-eo "escalunya"-noun-ca
"allassa"-noun-ca "ajlo"-noun-eo
"escalunya"-noun-ca "ajlo"-noun-eo
"aK"-noun-eo "aC"-noun-ca
"aC"-noun-ca "aK"-noun-eo
"akcelilo"-noun-eo "accelerador"-noun-ca
"accelerador"-noun-ca "akcelilo"-noun-eo
"akcipitro"-noun-eo "astor"-noun-ca
"astor"-noun-ca "akcipitro"-noun-eo
"akordi"-verb-eo "adir-se"-verb-ca
"adir-se"-verb-ca "akordi"-verb-eo
"akra"-adjective-eo "afilat"-adjective-ca
"akra"-adjective-eo "esmolat"-adjective-ca
"afilat"-adjective-ca "akra"-adjective-eo
"esmolat"-adjective-ca "akra"-adjective-eo
"akselo"-noun-eo "axil·la"-noun-ca
"axil·la"-noun-ca "akselo"-noun-eo
"aktoro"-noun-eo "actriu"-noun-ca
"actriu"-noun-ca "aktoro"-noun-eo
"akuzito"-noun-eo "encausat"-noun-ca
"akuzito"-noun-eo "processat"-noun-ca
"encausat"-noun-ca "akuzito"-noun-eo
"processat"-noun-ca "akuzito"-noun-eo
"akvario"-noun-eo "aquàrium"-noun-ca
"aquàrium"-noun-ca "akvario"-noun-eo
"alcedo"-noun-eo "alció"-noun-ca
"alció"-noun-ca "alcedo"-noun-eo
"alegoria"-adjective-eo "alegòric"-adjective-ca
"alegòric"-adjective-ca "alegoria"-adjective-eo
"alibio"-noun-eo "coartada"-noun-ca
"coartada"-noun-ca "alibio"-noun-eo
"aliflanke"-adverb-eo "d'altra part"-adverb-ca
"aliflanke"-adverb-eo "per altra part"-adverb-ca
"aliflanke"-adverb-eo "per altre costat"-adverb-ca
"d'altra part"-adverb-ca "aliflanke"-adverb-eo
"per altra part"-adverb-ca "aliflanke"-adverb-eo
"per altre costat"-adverb-ca "aliflanke"-adverb-eo
"alimondisto"-noun-eo "alimundialista"-noun-ca
"alimondisto"-noun-eo "altermundialista"-noun-ca
"alimondisto"-noun-eo "altermundista"-noun-ca
"alimundialista"-noun-ca "alimondisto"-noun-eo
"altermundialista"-noun-ca "alimondisto"-noun-eo
"altermundista"-noun-ca "alimondisto"-noun-eo
"alineo"-noun-eo "sagnat"-noun-ca
"sagnat"-noun-ca "alineo"-noun-eo
"alivorte"-adverb-eo "això és"-adverb-ca
"alivorte"-adverb-eo "amb altres paraules"-adverb-ca
"això és"-adverb-ca "alivorte"-adverb-eo
"amb altres paraules"-adverb-ca "alivorte"-adverb-eo
"almozulo"-noun-eo "pidolaire"-noun-ca
"pidolaire"-noun-ca "almozulo"-noun-eo
"alnomo"-noun-eo "àlies"-noun-ca
"àlies"-noun-ca "alnomo"-noun-eo
"altiĝo"-noun-eo "alta"-noun-ca
"alta"-noun-ca "altiĝo"-noun-eo
"altrudo"-noun-eo "coerció"-noun-ca
"coerció"-noun-ca "altrudo"-noun-eo
"alumeto"-noun-eo "cerilla"-noun-ca
"alumeto"-noun-eo "misto"-noun-ca
"cerilla"-noun-ca "alumeto"-noun-eo
"misto"-noun-ca "alumeto"-noun-eo
"amara"-adjective-eo "amargós"-adjective-ca
"amargós"-adjective-ca "amara"-adjective-eo
"amortizo"-noun-eo "amortització"-noun-ca
"amortització"-noun-ca "amortizo"-noun-eo
"ampero"-noun-eo "amper"-noun-ca
"amper"-noun-ca "ampero"-noun-eo
"ampolo"-noun-eo "ampul·la"-noun-ca
"ampolo"-noun-eo "fiola"-noun-ca
"ampul·la"-noun-ca "ampolo"-noun-eo
"fiola"-noun-ca "ampolo"-noun-eo
