"that"-determiner-en "ese"-determiner-es
"ese"-determiner-es "that"-determiner-en
"merely"-adverb-en "simplemente"-adverb-es
"merely"-adverb-en "sencillamente"-adverb-es
"simplemente"-adverb-es "merely"-adverb-en
"sencillamente"-adverb-es "merely"-adverb-en
"occasionally"-adverb-en "a veces"-adverb-es
"a veces"-adverb-es "occasionally"-adverb-en
"swiftly"-adverb-en "deprisa"-adverb-es
"deprisa"-adverb-es "swiftly"-adverb-en
"deprisa"-adverb-es "rapidly"-adverb-en
"deprisa"-adverb-es "quick"-adverb-en
"deprisa"-adverb-es "on the double"-adverb-en
"deprisa"-adverb-es "hand over fist"-adverb-en
"deprisa"-adverb-es "full blast"-adverb-en
"deprisa"-adverb-es "fast"-adverb-en
"deprisa"-adverb-es "at the double"-adverb-en
"rapidly"-adverb-en "deprisa"-adverb-es
"quick"-adverb-en "deprisa"-adverb-es
"on the double"-adverb-en "deprisa"-adverb-es
"hand over fist"-adverb-en "deprisa"-adverb-es
"full blast"-adverb-en "deprisa"-adverb-es
"fast"-adverb-en "deprisa"-adverb-es
"at the double"-adverb-en "deprisa"-adverb-es
"concurrently"-adverb-en "a la vez"-adverb-es
"a la vez"-adverb-es "concurrently"-adverb-en
"angostamente"-adverb-es "closely"-adverb-en
"closely"-adverb-en "angostamente"-adverb-es
"on a day-to-day basis"-adverb-en "a diario"-adverb-es
"a diario"-adverb-es "on a day-to-day basis"-adverb-en
"profoundly"-adverb-en "hondamente"-adverb-es
"hondamente"-adverb-es "profoundly"-adverb-en
"aparentemente"-adverb-es "seemingly"-adverb-en
"seemingly"-adverb-en "aparentemente"-adverb-es
"possibly"-adverb-en "tal vez"-adverb-es
"possibly"-adverb-en "quizá"-adverb-es
"possibly"-adverb-en "quizás"-adverb-es
"tal vez"-adverb-es "possibly"-adverb-en
"tal vez"-adverb-es "perhaps"-adverb-en
"quizá"-adverb-es "possibly"-adverb-en
"quizá"-adverb-es "maybe"-adverb-en
"quizás"-adverb-es "possibly"-adverb-en
"perhaps"-adverb-en "tal vez"-adverb-es
"maybe"-adverb-en "quizá"-adverb-es
"out"-adverb-en "afuera"-adverb-es
"afuera"-adverb-es "out"-adverb-en
"afuera"-adverb-es "off"-adverb-en
"off"-adverb-en "afuera"-adverb-es
"de todas maneras"-adverb-es "anyway"-adverb-en
"de todas maneras"-adverb-es "anyhow"-adverb-en
"anyway"-adverb-en "de todas maneras"-adverb-es
"anyhow"-adverb-en "de todas maneras"-adverb-es
"meanwhile"-adverb-en "mientras tanto"-adverb-es
"mientras tanto"-adverb-es "meanwhile"-adverb-en
"primeramente"-adverb-es "first"-adverb-en
"first"-adverb-en "primeramente"-adverb-es
"firstly"-adverb-en "primero"-adverb-es
"primero"-adverb-es "firstly"-adverb-en
"solamente"-adverb-es "solely"-adverb-en
"solamente"-adverb-es "just"-adverb-en
"solely"-adverb-en "solamente"-adverb-es
"solely"-adverb-en "solo"-adverb-es
"just"-adverb-en "solamente"-adverb-es
"just"-adverb-en "solo"-adverb-es
"solo"-adverb-es "solely"-adverb-en
"solo"-adverb-es "just"-adverb-en
"ultimately"-adverb-en "por fin"-adverb-es
"por fin"-adverb-es "ultimately"-adverb-en
"por fin"-adverb-es "lastly"-adverb-en
"por fin"-adverb-es "finally"-adverb-en
"lastly"-adverb-en "por fin"-adverb-es
"finally"-adverb-en "por fin"-adverb-es
"wholly"-adverb-en "por entero"-adverb-es
"por entero"-adverb-es "wholly"-adverb-en
"por entero"-adverb-es "to the ground"-adverb-en
"por entero"-adverb-es "to capacity"-adverb-en
"por entero"-adverb-es "straight through"-adverb-en
"por entero"-adverb-es "right through"-adverb-en
"por entero"-adverb-es "completely"-adverb-en
"por entero"-adverb-es "all the way"-adverb-en
"to the ground"-adverb-en "por entero"-adverb-es
"to capacity"-adverb-en "por entero"-adverb-es
"straight through"-adverb-en "por entero"-adverb-es
"right through"-adverb-en "por entero"-adverb-es
"completely"-adverb-en "por entero"-adverb-es
"all the way"-adverb-en "por entero"-adverb-es
"entirely"-adverb-en "por completo"-adverb-es
"por completo"-adverb-es "entirely"-adverb-en
"realmente"-adverb-es "truly"-adverb-en
"truly"-adverb-en "realmente"-adverb-es
"really"-adverb-en "verdaderamente"-adverb-es
"verdaderamente"-adverb-es "really"-adverb-en
"constantly"-adverb-en "continuamente"-adverb-es
"continuamente"-adverb-es "constantly"-adverb-en
"después"-adverb-es "next"-adverb-en
"next"-adverb-en "después"-adverb-es
"thereafter"-adverb-en "luego"-adverb-es
"luego"-adverb-es "thereafter"-adverb-en
"luego"-adverb-es "afterward"-adverb-en
"luego"-adverb-es "after"-adverb-en
"afterward"-adverb-en "luego"-adverb-es
"after"-adverb-en "luego"-adverb-es
"antes"-adverb-es "previously"-adverb-en
"antes"-adverb-es "formerly"-adverb-en
"previously"-adverb-en "antes"-adverb-es
"formerly"-adverb-en "antes"-adverb-es
"recién"-adverb-es "freshly"-adverb-en
"freshly"-adverb-en "recién"-adverb-es
"there and then"-adverb-en "de inmediato"-adverb-es
"there and then"-adverb-en "inmediatamente"-adverb-es
"de inmediato"-adverb-es "there and then"-adverb-en
"de inmediato"-adverb-es "then and there"-adverb-en
"de inmediato"-adverb-es "straight away"-adverb-en
"de inmediato"-adverb-es "right away"-adverb-en
"de inmediato"-adverb-es "in a little while"-adverb-en
"de inmediato"-adverb-es "in short order"-adverb-en
"de inmediato"-adverb-es "forthwith"-adverb-en
"de inmediato"-adverb-es "right off"-adverb-en
"de inmediato"-adverb-es "at once"-adverb-en
"inmediatamente"-adverb-es "there and then"-adverb-en
"inmediatamente"-adverb-es "then and there"-adverb-en
"inmediatamente"-adverb-es "straight away"-adverb-en
"inmediatamente"-adverb-es "right away"-adverb-en
"inmediatamente"-adverb-es "in a little while"-adverb-en
"inmediatamente"-adverb-es "in short order"-adverb-en
"inmediatamente"-adverb-es "forthwith"-adverb-en
"then and there"-adverb-en "de inmediato"-adverb-es
"then and there"-adverb-en "inmediatamente"-adverb-es
"straight away"-adverb-en "de inmediato"-adverb-es
"straight away"-adverb-en "inmediatamente"-adverb-es
"right away"-adverb-en "de inmediato"-adverb-es
"right away"-adverb-en "inmediatamente"-adverb-es
"in a little while"-adverb-en "de inmediato"-adverb-es
"in a little while"-adverb-en "inmediatamente"-adverb-es
"in short order"-adverb-en "de inmediato"-adverb-es
"in short order"-adverb-en "inmediatamente"-adverb-es
"forthwith"-adverb-en "de inmediato"-adverb-es
"forthwith"-adverb-en "inmediatamente"-adverb-es
"right off"-adverb-en "de inmediato"-adverb-es
"at once"-adverb-en "de inmediato"-adverb-es
"specially"-adverb-en "en especial"-adverb-es
"en especial"-adverb-es "specially"-adverb-en
"allá"-adverb-es "out there"-adverb-en
"allá"-adverb-es "over there"-adverb-en
