Esperanto	English	Correct/Wrong	Comments
asesoro-noun-eo	adviser-noun-en	Correct	
forte-adverb-eo	hugely-adverb-en	Correct	
devo-noun-eo	homework-noun-en	Wrong	
nepre-adverb-eo	inevitably-adverb-en	Correct	
Herodoto-properNoun-eo	Herodotus-properNoun-en	Correct	
farmakologio-noun-eo	pharmacology-noun-en	Correct	
moderna-adjective-eo	state-of-the-art-adjective-en	Correct	
aŭdaca-adjective-eo	fearless-adjective-en	Correct	
inversa-adjective-eo	contrary-adjective-en	Correct	
karakterize-adverb-eo	characteristically-adverb-en	Correct	
dungiteco-noun-eo	job-noun-en	Correct	
Hispan-ameriko-properNoun-eo	Latin America-properNoun-en	Correct	
sekulareco-noun-eo	laicism-noun-en	Correct	
aliformi-verb-eo	transform-verb-en	Correct	
kurioza-adjective-eo	curious-adjective-en	Correct	
antikva-adjective-eo	old-fashioned-adjective-en	Correct	
Ĝakarto-properNoun-eo	Jakarta-properNoun-en	Correct	
elprovo-noun-eo	test-noun-en	Correct	
malkonfido-noun-eo	distrust-noun-en	Correct	
ĝis nun-adverb-eo	for the meantime-adverb-en	Correct	
klaso-noun-eo	rank-noun-en	Wrong	
monstre-adverb-eo	monstrously-adverb-en	Correct	
falsa-adjective-eo	dud-adjective-en	Correct	
simuli-verb-eo	simulate-verb-en	Correct	
postrestaĵo-noun-eo	waste-noun-en	Correct	
vesto-noun-eo	cloth-noun-en	Correct	
malizotropa-adjective-eo	anisotropic-adjective-en	Correct	
rilato-noun-eo	connection-noun-en	Correct	
deĵoro-noun-eo	turn-noun-en	Correct	
falsema-adjective-eo	deceitful-adjective-en	Correct	
idaro-noun-eo	descendant-noun-en	Correct	
oftalmologio-noun-eo	ophthalmology-noun-en	Correct	
geedzeco-noun-eo	couple-noun-en	Wrong	
Jozefo-properNoun-eo	José-properNoun-en	Wrong	José is Spanish
malluma-adjective-eo	obscure-adjective-en	Correct	
Marseille-properNoun-eo	Marseilles-properNoun-en	Correct	
lernofako-noun-eo	subject-noun-en	Correct	
fluejo-noun-eo	course-noun-en	Correct	
Kostariko-properNoun-eo	Costa Rica-properNoun-en	Correct	
vojeto-noun-eo	footpath-noun-en	Correct	
Brita Insularo-properNoun-eo	British Isles-properNoun-en	Correct	
koro-noun-eo	core-noun-en	Correct	
de nun-adverb-eo	from now on-adverb-en	Correct	
arĝento-noun-eo	money-noun-en	Wrong	
