"France"-properNoun-fr "Francia"-properNoun-es
"Ocaña"-properNoun-fr "Ocaña"-properNoun-es
"sécher"-verb-fr "secar"-verb-es
"nous"-pronoun-fr "nos"-pronoun-es
"nous"-pronoun-fr "nosotros"-pronoun-es
"avoir l'habitude de"-verb-fr "tener la costumbre de"-verb-es
"avoir l'habitude de"-verb-fr "soler"-verb-es
"mettre la charrue devant les boeufs"-verb-fr "empezar la casa por el tejado"-verb-es
"IX"-numeral-fr "IX"-numeral-es
"Márquez"-properNoun-fr "Márquez"-properNoun-es
"intensification"-noun-fr "intensificación"-noun-es
"travailleur salarié"-noun-fr "trabajador por cuenta ajena"-noun-es
"Mirko"-properNoun-fr "Mirko"-properNoun-es
"caricaturer"-verb-fr "caricaturizar"-verb-es
"Jokin"-properNoun-fr "Jokin"-properNoun-es
"Etxepare"-properNoun-fr "Etxepare"-properNoun-es
"SME"-noun-fr "SME"-noun-es
"coopérateur"-noun-fr "cooperador"-noun-es
"énième"-adjective-fr "enésimo"-adjective-es
"variante"-noun-fr "variante"-noun-es
"Petites Îles de la Sonde"-properNoun-fr "Pequeñas Islas de la Sonda"-properNoun-es
"doux"-adjective-fr "dulce"-adjective-es
"doux"-adjective-fr "suave"-adjective-es
"consommer"-verb-fr "consumir"-verb-es
"Illarramendi"-properNoun-fr "Illarramendi"-properNoun-es
"étouffer"-verb-fr "asfixiar"-verb-es
"vin"-noun-fr "vino"-noun-es
"baladeur"-noun-fr "paseante"-noun-es
"Pollux"-properNoun-fr "Pólux"-properNoun-es
"Arbeo"-properNoun-fr "Arbeo"-properNoun-es
"Acevedo"-properNoun-fr "Acevedo"-properNoun-es
"veau"-noun-fr "ternera"-noun-es
"bimensuel"-adjective-fr "quincenal"-adjective-es
"Biarritz"-properNoun-fr "Biarritz"-properNoun-es
"CDN"-noun-fr "CDN"-noun-es
"Anacabe"-properNoun-fr "Anacabe"-properNoun-es
"constater"-verb-fr "constatar"-verb-es
"totalité"-noun-fr "totalidad"-noun-es
"Hermes"-properNoun-fr "Hermes"-properNoun-es
"postsynchronisation"-noun-fr "postsincronización"-noun-es
"actuariel"-adjective-fr "actuarial"-adjective-es
"Garaizar"-properNoun-fr "Garaizar"-properNoun-es
"rapatriement"-noun-fr "repatriación"-noun-es
"indigent"-noun-fr "indigente"-noun-es
"dévier"-verb-fr "desviar"-verb-es
"EFQM"-noun-fr "EFQM"-noun-es
"Oustacha"-properNoun-fr "Ustacha"-properNoun-es
"Oustacha"-properNoun-fr "Ustasha"-properNoun-es
"Aibar"-properNoun-fr "Aibar"-properNoun-es
"à grande échelle"-adverb-fr "a gran escala"-adverb-es
"notification légale"-noun-fr "aviso legal"-noun-es
"vice-conseiller"-noun-fr "viceconsejero"-noun-es
