"eble"-adverb-eo "tal vegada"-adverb-ca
"tal vegada"-adverb-ca "eble"-adverb-eo
"durament"-adverb-ca "forte"-adverb-eo
"forte"-adverb-eo "durament"-adverb-ca
"prefere"-adverb-eo "més aviat"-adverb-ca
"més aviat"-adverb-ca "prefere"-adverb-eo
"ĉi tie"-adverb-eo "ençà"-adverb-ca
"ençà"-adverb-ca "ĉi tie"-adverb-eo
"aliflanke"-adverb-eo "d'una altra banda"-adverb-ca
"d'una altra banda"-adverb-ca "aliflanke"-adverb-eo
"malantaŭe"-adverb-eo "al darrere"-adverb-ca
"al darrere"-adverb-ca "malantaŭe"-adverb-eo
"neniam"-adverb-eo "mai no"-adverb-ca
"mai no"-adverb-ca "neniam"-adverb-eo
"quotidianament"-adverb-ca "ĉiutage"-adverb-eo
"ĉiutage"-adverb-eo "quotidianament"-adverb-ca
"amb prou feines"-adverb-ca "apenaŭ"-adverb-eo
"apenaŭ"-adverb-eo "amb prou feines"-adverb-ca
"apenaŭ"-adverb-eo "amb prou faenes"-adverb-ca
"amb prou faenes"-adverb-ca "apenaŭ"-adverb-eo
"ekstere"-adverb-eo "a fora"-adverb-ca
"a fora"-adverb-ca "ekstere"-adverb-eo
"ĉiam"-adverb-eo "tothora"-adverb-ca
"tothora"-adverb-ca "ĉiam"-adverb-eo
"kiam"-adverb-eo "quan"-relativePronoun-ca
"quan"-relativePronoun-ca "kiam"-adverb-eo
"si s'escau"-adverb-ca "eventuale"-adverb-eo
"eventuale"-adverb-eo "si s'escau"-adverb-ca
"precipe"-adverb-eo "cabdalment"-adverb-ca
"cabdalment"-adverb-ca "precipe"-adverb-eo
"kategorie"-adverb-eo "categòricament"-adverb-ca
"categòricament"-adverb-ca "kategorie"-adverb-eo
"dolçament"-adverb-ca "milde"-adverb-eo
"milde"-adverb-eo "dolçament"-adverb-ca
"certe"-adverb-eo "de ben segur"-adverb-ca
"certe"-adverb-eo "segur"-adverb-ca
"de ben segur"-adverb-ca "certe"-adverb-eo
"segur"-adverb-ca "certe"-adverb-eo
"nur"-adverb-eo "tan sols"-adverb-ca
"nur"-adverb-eo "sols"-adverb-ca
"tan sols"-adverb-ca "nur"-adverb-eo
"sols"-adverb-ca "nur"-adverb-eo
"poste"-adverb-eo "a continuació"-adverb-ca
"poste"-adverb-eo "més tard"-adverb-ca
"a continuació"-adverb-ca "poste"-adverb-eo
"més tard"-adverb-ca "poste"-adverb-eo
"antaŭen"-adverb-eo "avant"-adverb-ca
"avant"-adverb-ca "antaŭen"-adverb-eo
"sube"-adverb-eo "per sota"-adverb-ca
"sube"-adverb-eo "al dessota"-adverb-ca
"per sota"-adverb-ca "sube"-adverb-eo
"al dessota"-adverb-ca "sube"-adverb-eo
"ekstreme"-adverb-eo "summament"-adverb-ca
"ekstreme"-adverb-eo "extremament"-adverb-ca
"summament"-adverb-ca "ekstreme"-adverb-eo
"extremament"-adverb-ca "ekstreme"-adverb-eo
"de seguida"-adverb-ca "tuj"-adverb-eo
"de seguida"-adverb-ca "senprokraste"-adverb-eo
"tuj"-adverb-eo "de seguida"-adverb-ca
"senprokraste"-adverb-eo "de seguida"-adverb-ca
"fine"-adverb-eo "per fi"-adverb-ca
"per fi"-adverb-ca "fine"-adverb-eo
"denove"-adverb-eo "de bell nou"-adverb-ca
"de bell nou"-adverb-ca "denove"-adverb-eo
"vere"-adverb-eo "vertaderament"-adverb-ca
"vere"-adverb-eo "verdaderament"-adverb-ca
"vertaderament"-adverb-ca "vere"-adverb-eo
"verdaderament"-adverb-ca "vere"-adverb-eo
"prudente"-adverb-eo "raonablement"-adverb-ca
"raonablement"-adverb-ca "prudente"-adverb-eo
"iomete"-adverb-eo "lleument"-adverb-ca
"lleument"-adverb-ca "iomete"-adverb-eo
"confortablement"-adverb-ca "komforte"-adverb-eo
"komforte"-adverb-eo "confortablement"-adverb-ca
"eĉ"-adverb-eo "àdhuc"-adverb-ca
"àdhuc"-adverb-ca "eĉ"-adverb-eo
"tio"-pronoun-eo "aquell"-pronoun-ca
"aquell"-pronoun-ca "tio"-pronoun-eo
"quin"-pronoun-ca "kiu"-relativePronoun-eo
"quin"-pronoun-ca "kiu"-pronoun-eo
"quin"-pronoun-ca "kio"-relativePronoun-eo
"quin"-pronoun-ca "kio"-pronoun-eo
"kiu"-relativePronoun-eo "quin"-pronoun-ca
"kiu"-relativePronoun-eo "que"-relativePronoun-ca
"kiu"-pronoun-eo "quin"-pronoun-ca
"kiu"-pronoun-eo "que"-relativePronoun-ca
"kio"-relativePronoun-eo "quin"-pronoun-ca
"kio"-pronoun-eo "quin"-pronoun-ca
"que"-relativePronoun-ca "kiu"-relativePronoun-eo
"que"-relativePronoun-ca "kiu"-pronoun-eo
"hom"-reflexivePersonalPronoun-ca "prpers"-pronoun-eo
"prpers"-pronoun-eo "hom"-reflexivePersonalPronoun-ca
"prpers"-pronoun-eo "et"-pronoun-ca
"prpers"-pronoun-eo "em"-pronoun-ca
"prpers"-pronoun-eo "us"-pronoun-ca
"prpers"-pronoun-eo "li"-pronoun-ca
"prpers"-pronoun-eo "ens"-pronoun-ca
"prpers"-pronoun-eo "el"-pronoun-ca
"prpers"-pronoun-eo "ell"-pronoun-ca
"prpers"-pronoun-eo "jo"-pronoun-ca
"prpers"-pronoun-eo "tu"-pronoun-ca
"et"-pronoun-ca "prpers"-pronoun-eo
"em"-pronoun-ca "prpers"-pronoun-eo
"us"-pronoun-ca "prpers"-pronoun-eo
"li"-pronoun-ca "prpers"-pronoun-eo
"ens"-pronoun-ca "prpers"-pronoun-eo
"el"-pronoun-ca "prpers"-pronoun-eo
"ell"-pronoun-ca "prpers"-pronoun-eo
"jo"-pronoun-ca "prpers"-pronoun-eo
"tu"-pronoun-ca "prpers"-pronoun-eo
"ĉiu"-pronoun-eo "cadascun"-pronoun-ca
"cadascun"-pronoun-ca "ĉiu"-pronoun-eo
"neniu"-pronoun-eo "cap"-pronoun-ca
"cap"-pronoun-ca "neniu"-pronoun-eo
"kie"-adverb-eo "a on"-adverb-ca
"a on"-adverb-ca "kie"-adverb-eo
"rilate al"-preposition-eo "en relació amb"-preposition-ca
"en relació amb"-preposition-ca "rilate al"-preposition-eo
"al costat de"-preposition-ca "apud"-preposition-eo
"apud"-preposition-eo "al costat de"-preposition-ca
"proksime de"-preposition-eo "vora de"-preposition-ca
"vora de"-preposition-ca "proksime de"-preposition-eo
"sur"-preposition-eo "damunt de"-preposition-ca
"damunt de"-preposition-ca "sur"-preposition-eo
"en"-preposition-eo "dintre"-preposition-ca
"en"-preposition-eo "a dins de"-preposition-ca
"dintre"-preposition-ca "en"-preposition-eo
"a dins de"-preposition-ca "en"-preposition-eo
"post"-preposition-eo "rere"-preposition-ca
"rere"-preposition-ca "post"-preposition-eo
"ekde"-preposition-eo "des"-preposition-ca
"des"-preposition-ca "ekde"-preposition-eo
"libera"-adjective-eo "exempt"-adjective-ca
"libera"-adjective-eo "vacant"-adjective-ca
"exempt"-adjective-ca "libera"-adjective-eo
"vacant"-adjective-ca "libera"-adjective-eo
"honora"-adjective-eo "honorífic"-adjective-ca
"honorífic"-adjective-ca "honora"-adjective-eo
"intermediari"-adjective-ca "intera"-adjective-eo
"intera"-adjective-eo "intermediari"-adjective-ca
"mig"-adjective-ca "meza"-adjective-eo
"meza"-adjective-eo "mig"-adjective-ca
"innat"-adjective-ca "denaska"-adjective-eo
"denaska"-adjective-eo "innat"-adjective-ca
"lamenti"-verb-eo "queixar"-verb-ca
"queixar"-verb-ca "lamenti"-verb-eo
"katastrofo"-noun-eo "desastre"-noun-ca
"desastre"-noun-ca "katastrofo"-noun-eo
"pantalons"-noun-ca "pantalono"-noun-eo
"pantalono"-noun-eo "pantalons"-noun-ca
"ŝtormo"-noun-eo "temporal"-noun-ca
"temporal"-noun-ca "ŝtormo"-noun-eo
"acolliment"-noun-ca "salutado"-noun-eo
"salutado"-noun-eo "acolliment"-noun-ca
"jovent"-noun-ca "juneco"-noun-eo
"juneco"-noun-eo "jovent"-noun-ca
"malkovro"-noun-eo "descoberta"-noun-ca
"descoberta"-noun-ca "malkovro"-noun-eo
"tensio"-noun-eo "voltatge"-noun-ca
"voltatge"-noun-ca "tensio"-noun-eo
"addicció"-noun-ca "dependeco"-noun-eo
"dependeco"-noun-eo "addicció"-noun-ca
"lideratge"-noun-ca "ĉefeco"-noun-eo
"ĉefeco"-noun-eo "lideratge"-noun-ca
"moneder"-noun-ca "monujo"-noun-eo
"monujo"-noun-eo "moneder"-noun-ca
"bandoler"-noun-ca "bandito"-noun-eo
"bandito"-noun-eo "bandoler"-noun-ca
"balustrado"-noun-eo "barana"-noun-ca
"barana"-noun-ca "balustrado"-noun-eo
"jersei"-noun-ca "ĵerzo"-noun-eo
"ĵerzo"-noun-eo "jersei"-noun-ca
"graveco"-noun-eo "serietat"-noun-ca
"graveco"-noun-eo "transcendència"-noun-ca
"serietat"-noun-ca "graveco"-noun-eo
"transcendència"-noun-ca "graveco"-noun-eo
"pleto"-noun-eo "plató"-noun-ca
"plató"-noun-ca "pleto"-noun-eo
"funebro"-noun-eo "funeral"-noun-ca
"funeral"-noun-ca "funebro"-noun-eo
"kloako"-noun-eo "embornal"-noun-ca
"embornal"-noun-ca "kloako"-noun-eo
"naŭzo"-noun-eo "fàstic"-noun-ca
"fàstic"-noun-ca "naŭzo"-noun-eo
"morto"-noun-eo "defunció"-noun-ca
"defunció"-noun-ca "morto"-noun-eo
"dispozicio"-noun-eo "predisposició"-noun-ca
"predisposició"-noun-ca "dispozicio"-noun-eo
"akcepto"-noun-eo "admissió"-noun-ca
"admissió"-noun-ca "akcepto"-noun-eo
"agulla de cap"-noun-ca "pinglo"-noun-eo
"pinglo"-noun-eo "agulla de cap"-noun-ca
"simpleco"-noun-eo "senzillesa"-noun-ca
"senzillesa"-noun-ca "simpleco"-noun-eo
"retrocés"-noun-ca "regreso"-noun-eo
"regreso"-noun-eo "retrocés"-noun-ca
"kurso"-noun-eo "decurs"-noun-ca
"decurs"-noun-ca "kurso"-noun-eo
"sendo"-noun-eo "enviament"-noun-ca
"enviament"-noun-ca "sendo"-noun-eo
"konstruo"-noun-eo "edificació"-noun-ca
"edificació"-noun-ca "konstruo"-noun-eo
"ubicació"-noun-ca "situo"-noun-eo
"situo"-noun-eo "ubicació"-noun-ca
"situo"-noun-eo "localització"-noun-ca
"localització"-noun-ca "situo"-noun-eo
"ŝipo"-noun-eo "navili"-noun-ca
"navili"-noun-ca "ŝipo"-noun-eo
"asistanto"-noun-eo "ajudant"-noun-ca
"ajudant"-noun-ca "asistanto"-noun-eo
"xou"-noun-ca "spektaklo"-noun-eo
"spektaklo"-noun-eo "xou"-noun-ca
"ligo"-noun-eo "vinculació"-noun-ca
"vinculació"-noun-ca "ligo"-noun-eo
"mono"-noun-eo "diners"-noun-ca
"diners"-noun-ca "mono"-noun-eo
"esfondrament"-noun-ca "falo"-noun-eo
"esfondrament"-noun-ca "kolapso"-noun-eo
"falo"-noun-eo "esfondrament"-noun-ca
"kolapso"-noun-eo "esfondrament"-noun-ca
"benko"-noun-eo "banqueta"-noun-ca
"banqueta"-noun-ca "benko"-noun-eo
"vesto"-noun-eo "vestimenta"-noun-ca
"vestimenta"-noun-ca "vesto"-noun-eo
"falda"-noun-ca "jupo"-noun-eo
"jupo"-noun-eo "falda"-noun-ca
"rakonto"-noun-eo "relat"-noun-ca
"relat"-noun-ca "rakonto"-noun-eo
"relat"-noun-ca "novelo"-noun-eo
"novelo"-noun-eo "relat"-noun-ca
"repàs"-noun-ca "revizio"-noun-eo
"revizio"-noun-eo "repàs"-noun-ca
"termini"-noun-ca "termino"-noun-eo
"termino"-noun-eo "termini"-noun-ca
"investo"-noun-eo "col·locació"-noun-ca
"col·locació"-noun-ca "investo"-noun-eo
"col·locació"-noun-ca "lokado"-noun-eo
"lokado"-noun-eo "col·locació"-noun-ca
"meta"-noun-ca "celo"-noun-eo
"celo"-noun-eo "meta"-noun-ca
"festo"-noun-eo "gala"-noun-ca
"gala"-noun-ca "festo"-noun-eo
"traç"-noun-ca "streko"-noun-eo
"streko"-noun-eo "traç"-noun-ca
"fendo"-noun-eo "clivella"-noun-ca
"clivella"-noun-ca "fendo"-noun-eo
"putrefacció"-noun-ca "malboniĝo"-noun-eo
"malboniĝo"-noun-eo "putrefacció"-noun-ca
"fino"-noun-eo "darreria"-noun-ca
"fino"-noun-eo "finalització"-noun-ca
"darreria"-noun-ca "fino"-noun-eo
"finalització"-noun-ca "fino"-noun-eo
"loĝejo"-noun-eo "vivenda"-noun-ca
"vivenda"-noun-ca "loĝejo"-noun-eo
"malfortaĵo"-noun-eo "feblesa"-noun-ca
"feblesa"-noun-ca "malfortaĵo"-noun-eo
"allistament"-noun-ca "konjekto"-noun-eo
"konjekto"-noun-eo "allistament"-noun-ca
"sekvo"-noun-eo "seqüela"-noun-ca
"seqüela"-noun-ca "sekvo"-noun-eo
"reemplaçament"-noun-ca "anstataŭo"-noun-eo
"anstataŭo"-noun-eo "reemplaçament"-noun-ca
"ŝtupo"-noun-eo "grada"-noun-ca
"grada"-noun-ca "ŝtupo"-noun-eo
"ento"-noun-eo "ens"-noun-ca
"ens"-noun-ca "ento"-noun-eo
"ripozo"-noun-eo "descans"-noun-ca
"descans"-noun-ca "ripozo"-noun-eo
"panelo"-noun-eo "panell"-noun-ca
"panell"-noun-ca "panelo"-noun-eo
"atingo"-noun-eo "abast"-noun-ca
"atingo"-noun-eo "obtenció"-noun-ca
"abast"-noun-ca "atingo"-noun-eo
"obtenció"-noun-ca "atingo"-noun-eo
"kverelo"-noun-eo "altercació"-noun-ca
"altercació"-noun-ca "kverelo"-noun-eo
"sugesto"-noun-eo "suggerència"-noun-ca
"suggerència"-noun-ca "sugesto"-noun-eo
"heredaĵo"-noun-eo "llegat"-noun-ca
"llegat"-noun-ca "heredaĵo"-noun-eo
"municipalitat"-noun-ca "municipo"-noun-eo
"municipo"-noun-eo "municipalitat"-noun-ca
"desengany"-noun-ca "elreviĝo"-noun-eo
"elreviĝo"-noun-eo "desengany"-noun-ca
"nadó"-noun-ca "bebo"-noun-eo
"bebo"-noun-eo "nadó"-noun-ca
"sinjoro"-noun-eo "el senyor"-noun-ca
"el senyor"-noun-ca "sinjoro"-noun-eo
"elogi"-noun-ca "laŭdo"-noun-eo
"laŭdo"-noun-eo "elogi"-noun-ca
"komplimento"-noun-eo "felicitació"-noun-ca
"felicitació"-noun-ca "komplimento"-noun-eo
"felicitació"-noun-ca "gratulo"-noun-eo
"gratulo"-noun-eo "felicitació"-noun-ca
"reĝlando"-noun-eo "reialme"-noun-ca
