stiff	adjective	en	rígid	adjective	ca	Y
furthermore	adverb	en	a més a més	adverb	ca	Y
disappointment	noun	en	desengany	noun	ca	Y
diary	noun	en	agenda	noun	ca	Y
frequent	adjective	en	freqüent	adjective	ca	Y
exhibition	noun	en	exhibició	noun	ca	Y
Luke	properNoun	en	Luc	properNoun	ca	N
seminar	noun	en	seminari	noun	ca	Y
village	noun	en	ètnia	noun	ca	N
chairman	noun	en	president	noun	ca	Y
reach for	verb	en	copsar	verb	ca	N
confidence	noun	en	fe	noun	ca	N
deer	noun	en	cérvol	noun	ca	Y
crucible	noun	en	gresol	noun	ca	Y
dialect	noun	en	dialecte	noun	ca	Y
marketing	noun	en	màrqueting	noun	ca	Y
son	noun	en	noi	noun	ca	N
row	noun	en	filera	noun	ca	Y
partition	noun	en	partitura	noun	ca	N
amphitheatre	noun	en	amfiteatre	noun	ca	Y
faction	noun	en	facció	noun	ca	Y
illusion	noun	en	il·lusió	noun	ca	Y
applause	noun	en	aplaudiment	noun	ca	Y
pronunciation	noun	en	pronunciació	noun	ca	Y
cold	noun	en	fred	noun	ca	Y
Saxony	properNoun	en	Saxònia	properNoun	ca	Y
wisdom	noun	en	seny	noun	ca	Y
in Asturian	adverb	en	en asturià	adverb	ca	Y
brave	adjective	en	valerós	adjective	ca	Y
indiscretion	noun	en	indiscreció	noun	ca	Y
supplement	noun	en	suplement	noun	ca	Y
Horace	properNoun	en	Horaci	properNoun	ca	Y
goblin	noun	en	follet	noun	ca	Y
miniature	noun	en	miniatura	noun	ca	Y
speech	noun	en	discurs	noun	ca	Y
France	properNoun	en	estat francès	properNoun	ca	N
authentic	adjective	en	ver	adjective	ca	Y
bright	adjective	en	brillant	adjective	ca	Y
portable	adjective	en	portàtil	adjective	ca	Y
rate	noun	en	índex	noun	ca	Y
dockyard	noun	en	drassana	noun	ca	Y
tourist	noun	en	turista	noun	ca	Y
indifferent	adjective	en	indiferent	adjective	ca	Y
appetite	noun	en	gana	noun	ca	Y
resolution	noun	en	solució	noun	ca	Y
whim	noun	en	caprici	noun	ca	Y
currency	noun	en	divisa	noun	ca	Y
monarch	noun	en	monarca	noun	ca	Y
meal	noun	en	àpat	noun	ca	Y
creation	noun	en	criatura	noun	ca	N
component	noun	en	element	noun	ca	Y
death	noun	en	mort	noun	ca	Y
scene	noun	en	escenari	noun	ca	Y
