друг	determiner	mkd	друг	determiner	bul
free	pronoun	mkd	free	pronoun	bul
clitic	pronoun	mkd	clitic	pronoun	bul
мој	pronoun	mkd	мой	pronoun	bul
твој	pronoun	mkd	твой	pronoun	bul
негов	pronoun	mkd	негов	pronoun	bul
нејзин	pronoun	mkd	неин	pronoun	bul
наш	pronoun	mkd	наш	pronoun	bul
ваш	pronoun	mkd	ваш	pronoun	bul
нивен	pronoun	mkd	техен	pronoun	bul
clitic	pronoun	mkd	clitic	pronoun	bul
free	pronoun	mkd	free	pronoun	bul
clitic	pronoun	mkd	clitic	pronoun	bul
тој	pronoun	mkd	този	pronoun	bul
овој	pronoun	mkd	този	pronoun	bul
оној	pronoun	mkd	онзи	pronoun	bul
таков	pronoun	mkd	такъв	pronoun	bul
ваков	pronoun	mkd	такъв	pronoun	bul
онаков	pronoun	mkd	онакъв	pronoun	bul
толкав	pronoun	mkd	толкова	pronoun	bul
олкав	pronoun	mkd	толкова	pronoun	bul
онолкав	pronoun	mkd	толкова	pronoun	bul
кој	pronoun	mkd	кой	pronoun	bul
каков	pronoun	mkd	какъв	pronoun	bul
колкав	pronoun	mkd	какъв	pronoun	bul
што	pronoun	mkd	какво	pronoun	bul
што	pronoun	mkd	що	pronoun	bul
зошто	pronoun	mkd	защо	pronoun	bul
поради што	pronoun	mkd	защо	pronoun	bul
колку	pronoun	mkd	колко	pronoun	bul
кога	pronoun	mkd	кога	pronoun	bul
каде	pronoun	mkd	къде	pronoun	bul
како	pronoun	mkd	как	pronoun	bul
што	pronoun	mkd	дето	pronoun	bul
којшто	pronoun	mkd	който	pronoun	bul
кој	pronoun	mkd	който	pronoun	bul
каков што	pronoun	mkd	какъвто	pronoun	bul
каков	pronoun	mkd	какъвто	pronoun	bul
колку	pronoun	mkd	колкото	pronoun	bul
колку што	pronoun	mkd	колкото	pronoun	bul
кога	pronoun	mkd	когато	pronoun	bul
кога што	pronoun	mkd	когато	pronoun	bul
како	pronoun	mkd	както	pronoun	bul
како што	pronoun	mkd	както	pronoun	bul
каде што	pronoun	mkd	където	pronoun	bul
бидејќи	pronoun	mkd	защото	pronoun	bul
зашто	pronoun	mkd	защото	pronoun	bul
затоа што	pronoun	mkd	защото	pronoun	bul
некој	pronoun	mkd	някой	pronoun	bul
некаков	pronoun	mkd	някакъв	pronoun	bul
неколку	pronoun	mkd	няколко	pronoun	bul
неколцина	pronoun	mkd	неколцина	pronoun	bul
никој	pronoun	mkd	никой	pronoun	bul
никаков	pronoun	mkd	никакъв	pronoun	bul
ништо	pronoun	mkd	нищо	pronoun	bul
николку	pronoun	mkd	николко	pronoun	bul
секој	pronoun	mkd	всеки	pronoun	bul
секаков	pronoun	mkd	всякакъв	pronoun	bul
сиот	pronoun	mkd	всичкият	pronoun	bul
сешто	pronoun	mkd	всичко	pronoun	bul
сѐ	pronoun	mkd	всичко	pronoun	bul
