"some"-determiner-en "uns quants"-determiner-ca
"uns quants"-determiner-ca "some"-determiner-en
"in conjunction"-adverb-en "juntament"-adverb-ca
"juntament"-adverb-ca "in conjunction"-adverb-en
"a penes"-adverb-ca "no sooner"-adverb-en
"no sooner"-adverb-en "a penes"-adverb-ca
"occasionally"-adverb-en "de vegades"-adverb-ca
"de vegades"-adverb-ca "occasionally"-adverb-en
"meantime"-adverb-en "entretant"-adverb-ca
"entretant"-adverb-ca "meantime"-adverb-en
"entretant"-adverb-ca "in the meanwhile"-adverb-en
"entretant"-adverb-ca "in the meantime"-adverb-en
"entretant"-adverb-ca "in the interim"-adverb-en
"in the meanwhile"-adverb-en "entretant"-adverb-ca
"in the meantime"-adverb-en "entretant"-adverb-ca
"in the interim"-adverb-en "entretant"-adverb-ca
"merely"-adverb-en "simplement"-adverb-ca
"merely"-adverb-en "senzillament"-adverb-ca
"simplement"-adverb-ca "merely"-adverb-en
"senzillament"-adverb-ca "merely"-adverb-en
"out"-adverb-en "enfora"-adverb-ca
"enfora"-adverb-ca "out"-adverb-en
"gens"-adverb-ca "absolutely not"-adverb-en
"absolutely not"-adverb-en "gens"-adverb-ca
"possiblement"-adverb-ca "maybe"-adverb-en
"possiblement"-adverb-ca "perhaps"-adverb-en
"maybe"-adverb-en "possiblement"-adverb-ca
"perhaps"-adverb-en "possiblement"-adverb-ca
"igualment"-adverb-ca "likewise"-adverb-en
"likewise"-adverb-en "igualment"-adverb-ca
"quite a lot"-adverb-en "suficientment"-adverb-ca
"suficientment"-adverb-ca "quite a lot"-adverb-en
"suficientment"-adverb-ca "enough"-adverb-en
"bastant"-adverb-ca "sufficiently"-adverb-en
"sufficiently"-adverb-en "bastant"-adverb-ca
"sufficiently"-adverb-en "prou"-adverb-ca
"prou"-adverb-ca "sufficiently"-adverb-en
"enough"-adverb-en "suficientment"-adverb-ca
"entirely"-adverb-en "totalment"-adverb-ca
"totalment"-adverb-ca "entirely"-adverb-en
"very much"-adverb-en "gaire"-adverb-ca
"gaire"-adverb-ca "very much"-adverb-en
"gaire"-adverb-ca "hugely"-adverb-en
"gaire"-adverb-ca "greatly"-adverb-en
"gaire"-adverb-ca "dearly"-adverb-en
"gaire"-adverb-ca "awfully"-adverb-en
"hugely"-adverb-en "gaire"-adverb-ca
"greatly"-adverb-en "gaire"-adverb-ca
"dearly"-adverb-en "gaire"-adverb-ca
"awfully"-adverb-en "gaire"-adverb-ca
"realment"-adverb-ca "truly"-adverb-en
"truly"-adverb-en "realment"-adverb-ca
"really"-adverb-en "veritablement"-adverb-ca
"veritablement"-adverb-ca "really"-adverb-en
"before"-adverb-en "anteriorment"-adverb-ca
"anteriorment"-adverb-ca "before"-adverb-en
"al capdavant"-adverb-ca "in front"-adverb-en
"in front"-adverb-en "al capdavant"-adverb-ca
"moreover"-adverb-en "a més a més"-adverb-ca
"a més a més"-adverb-ca "moreover"-adverb-en
"a més a més"-adverb-ca "there again"-adverb-en
"a més a més"-adverb-ca "into the bargain"-adverb-en
"there again"-adverb-en "a més a més"-adverb-ca
"into the bargain"-adverb-en "a més a més"-adverb-ca
"out there"-adverb-en "allà"-adverb-ca
"allà"-adverb-ca "out there"-adverb-en
"allà"-adverb-ca "over there"-adverb-en
"over there"-adverb-en "allà"-adverb-ca
"below"-adverb-en "baix"-adverb-ca
"baix"-adverb-ca "below"-adverb-en
"davall"-adverb-ca "beneath"-adverb-en
"beneath"-adverb-en "davall"-adverb-ca
"constantment"-adverb-ca "week in week out"-adverb-en
"constantment"-adverb-ca "every now and again"-adverb-en
"week in week out"-adverb-en "constantment"-adverb-ca
"every now and again"-adverb-en "constantment"-adverb-ca
"alone"-adverb-en "solament"-adverb-ca
"solament"-adverb-ca "alone"-adverb-en
"who"-relativePronoun-en "el que"-pronoun-ca
"who"-relativePronoun-en "el qual"-pronoun-ca
"el que"-pronoun-ca "who"-relativePronoun-en
"el que"-pronoun-ca "who"-pronoun-en
"el que"-pronoun-ca "which"-pronoun-en
"el que"-pronoun-ca "which"-relativePronoun-en
"el qual"-pronoun-ca "who"-relativePronoun-en
"el qual"-pronoun-ca "who"-pronoun-en
"who"-pronoun-en "el que"-pronoun-ca
"who"-pronoun-en "el qual"-pronoun-ca
"which"-pronoun-en "el que"-pronoun-ca
"which"-pronoun-en "qui"-pronoun-ca
"which"-relativePronoun-en "el que"-pronoun-ca
"which"-relativePronoun-en "qui"-pronoun-ca
"qui"-pronoun-ca "which"-pronoun-en
"qui"-pronoun-ca "which"-relativePronoun-en
"qui"-pronoun-ca "that"-relativePronoun-en
"that"-relativePronoun-en "qui"-pronoun-ca
"això"-pronoun-ca "that"-pronoun-en
"that"-pronoun-en "això"-pronoun-ca
"that"-pronoun-en "açò"-pronoun-ca
"açò"-pronoun-ca "that"-pronoun-en
"tothom"-pronoun-ca "all"-pronoun-en
"all"-pronoun-en "tothom"-pronoun-ca
"some"-pronoun-en "algú"-pronoun-ca
"algú"-pronoun-ca "some"-pronoun-en
"ningú"-pronoun-ca "none"-pronoun-en
"none"-pronoun-en "ningú"-pronoun-ca
"fora de"-preposition-ca "outside"-preposition-en
"outside"-preposition-en "fora de"-preposition-ca
"d'acord amb"-preposition-ca "according to"-preposition-en
"according to"-preposition-en "d'acord amb"-preposition-ca
"dins de"-preposition-ca "inside"-preposition-en
"inside"-preposition-en "dins de"-preposition-ca
"off"-preposition-en "des de"-preposition-ca
"des de"-preposition-ca "off"-preposition-en
"des de"-preposition-ca "of"-preposition-en
"de"-preposition-ca "from"-preposition-en
"from"-preposition-en "de"-preposition-ca
"of"-preposition-en "des de"-preposition-ca
"at about"-preposition-en "damunt"-preposition-ca
"damunt"-preposition-ca "at about"-preposition-en
"for"-preposition-en "a favor de"-preposition-ca
"a favor de"-preposition-ca "for"-preposition-en
"per"-preposition-en "per a"-preposition-ca
"per a"-preposition-ca "per"-preposition-en
"below"-preposition-en "sota de"-preposition-ca
"sota de"-preposition-ca "below"-preposition-en
"native"-adjective-en "autòcton"-adjective-ca
"autòcton"-adjective-ca "native"-adjective-en
"doubtful"-adjective-en "incert"-adjective-ca
"incert"-adjective-ca "doubtful"-adjective-en
