"the"-determiner-en "el"-determiner-ca
"this"-determiner-en "aquest"-determiner-ca
"that"-determiner-en "aquell"-determiner-ca
"a lot of"-determiner-en "molt"-determiner-ca
"more"-determiner-en "més"-determiner-ca
"a few"-determiner-en "uns quants"-determiner-ca
"how much"-determiner-en "quant"-determiner-ca
"how many"-determiner-en "quant"-determiner-ca
"how"-adverb-en "com"-adverb-ca
"any"-determiner-en "algun"-determiner-ca
"any"-determiner-en "cap"-determiner-ca
"any"-determiner-en "gens de"-determiner-ca
"any"-determiner-en "qualsevol"-determiner-ca
"my"-determiner-en "el meu"-determiner-ca
"your"-determiner-en "el vostre"-determiner-ca
"your"-determiner-en "el teu"-determiner-ca
"its"-determiner-en "el seu"-determiner-ca
"her"-determiner-en "el seu"-determiner-ca
"his"-determiner-en "el seu"-determiner-ca
"our"-determiner-en "el nostre"-determiner-ca
"their"-determiner-en "el seu"-determiner-ca
"various"-determiner-en "divers"-determiner-ca
"someone"-pronoun-en "algú"-pronoun-ca
"anyone"-pronoun-en "algú"-pronoun-ca
"anyone"-pronoun-en "ningú"-pronoun-ca
"anyone"-pronoun-en "qualsevol"-pronoun-ca
"something"-pronoun-en "alguna cosa"-pronoun-ca
"somewhat"-adverb-en "una mica"-adverb-ca
"somewhere"-adverb-en "en algun lloc"-adverb-ca
"the other"-pronoun-en "l'altre"-pronoun-ca
"everyone"-pronoun-en "tothom"-pronoun-ca
"which"-noun-en "quin"-pronoun-ca
"which"-noun-en "que"-pronoun-ca
"which"-noun-en "què"-pronoun-ca
"which"-noun-en "el qual"-pronoun-ca
"which"-pronoun-en "quin"-pronoun-ca
"which"-pronoun-en "que"-pronoun-ca
"which"-pronoun-en "què"-pronoun-ca
"which"-pronoun-en "el qual"-pronoun-ca
"which"-relativePronoun-en "quin"-pronoun-ca
"which"-relativePronoun-en "que"-pronoun-ca
"which"-relativePronoun-en "què"-pronoun-ca
"which"-relativePronoun-en "el qual"-pronoun-ca
"who"-pronoun-en "qui"-pronoun-ca
"who"-pronoun-en "que"-pronoun-ca
"who"-relativePronoun-en "qui"-pronoun-ca
"who"-relativePronoun-en "que"-pronoun-ca
"what"-noun-en "què"-pronoun-ca
"what"-noun-en "quin"-pronoun-ca
"what"-noun-en "el que"-pronoun-ca
"what"-pronoun-en "què"-pronoun-ca
"what"-pronoun-en "quin"-pronoun-ca
"what"-pronoun-en "el que"-pronoun-ca
"what"-relativePronoun-en "què"-pronoun-ca
"what"-relativePronoun-en "quin"-pronoun-ca
"what"-relativePronoun-en "el que"-pronoun-ca
"which one"-pronoun-en "quin"-pronoun-ca
"this"-pronoun-en "això"-pronoun-ca
"this"-pronoun-en "açò"-pronoun-ca
"this"-pronoun-en "aquest"-pronoun-ca
"that"-pronoun-en "allò"-pronoun-ca
"that"-pronoun-en "aquell"-pronoun-ca
"that"-pronoun-en "que"-pronoun-ca
"that"-relativePronoun-en "allò"-pronoun-ca
"that"-relativePronoun-en "aquell"-pronoun-ca
"that"-relativePronoun-en "que"-pronoun-ca
"where"-adverb-en "a on"-adverb-ca
"where"-adverb-en "on"-adverb-ca
"when"-adverb-en "quan"-adverb-ca
"on"-preposition-en "damunt"-preposition-ca
"on"-preposition-en "en"-preposition-ca
"on"-preposition-en "sobre"-preposition-ca
"for"-preposition-en "per a"-preposition-ca
"for"-preposition-en "per"-preposition-ca
"for"-preposition-en "durant"-preposition-ca
"under"-preposition-en "sota de"-preposition-ca
"under"-preposition-en "sota"-preposition-ca
"towards"-preposition-en "cap a"-preposition-ca
"over"-preposition-en "sobre"-preposition-ca
"over"-preposition-en "durant"-preposition-ca
"through"-preposition-en "a través de"-preposition-ca
"without"-preposition-en "sense"-preposition-ca
"in"-preposition-en "dins de"-preposition-ca
