"pomoćan"-adjective-hbs "support"-adjective-eng
"očuvanje mira"-noun-hbs "peacekeeping"-noun-eng
"uvelike"-adverb-hbs "greatly"-adverb-eng
"kontingent"-noun-hbs "contingent"-noun-eng
"ALTEA"-properNoun-hbs "ALTEA"-properNoun-eng
"u potpunosti"-adverb-hbs "fully"-adverb-eng
"Mirče"-properNoun-hbs "Mirče"-properNoun-eng
"Gjorgoski"-properNoun-hbs "Gjorgoski"-properNoun-eng
"Gjorgjoski"-properNoun-hbs "Gjorgjoski"-properNoun-eng
"zapovjedan"-adjective-hbs "command"-adjective-eng
"Butmir"-properNoun-hbs "Butmir"-properNoun-eng
"EUFOR"-properNoun-hbs "EUFOR"-properNoun-eng
"preuzimati"-verb-hbs "assume"-verb-eng
"rizičan"-adjective-hbs "high-risk"-adjective-eng
"Hadži"-properNoun-hbs "Hadži"-properNoun-eng
"Janev"-properNoun-hbs "Janev"-properNoun-eng
"u sve većoj mjeri"-adverb-hbs "increasingly"-adverb-eng
"učinkovitost"-noun-hbs "effectiveness"-noun-eng
"stav"-noun-hbs "view"-noun-eng
"borben"-adjective-hbs "combat"-adjective-eng
"tim"-noun-hbs "team"-noun-eng
"zapovjedan"-adjective-hbs "commanding"-adjective-eng
"logistički"-adjective-hbs "logistics"-adjective-eng
"postrojba"-noun-hbs "unit"-noun-eng
"nadahnuti"-verb-hbs "inspire"-verb-eng
"pozornost"-noun-hbs "attention"-noun-eng
"Alexander"-properNoun-hbs "Alexander"-properNoun-eng
"Pehr"-properNoun-hbs "Pehr"-properNoun-eng
"primijetiti"-verb-hbs "note"-verb-eng
"rastući"-adjective-hbs "increased"-adjective-eng
"angažirati"-verb-hbs "deploy"-verb-eng
"mirovnjak"-noun-hbs "peacekeeper"-noun-eng
"Libanon"-properNoun-hbs "Lebanon"-properNoun-eng
"Kongo"-properNoun-hbs "Congo"-properNoun-eng
"časnica"-noun-hbs "officer"-noun-eng
"Bjeloš"-properNoun-hbs "Bjeloš"-properNoun-eng
"istraživačica"-noun-hbs "researcher"-noun-eng
"muški"-adjective-hbs "male"-adjective-eng
"vojnikinja"-noun-hbs "soldier"-noun-eng
"prikupiti"-verb-hbs "collect"-verb-eng
"napetost"-noun-hbs "tension"-noun-eng
"kulturalan"-adjective-hbs "cultural"-adjective-eng
"teren"-noun-hbs "field"-noun-eng
"smještajan"-adjective-hbs "accommodation"-adjective-eng
"kapacitet"-noun-hbs "capacity"-noun-eng
"pružanje"-noun-hbs "provide"-verb-eng
"motivirati"-verb-hbs "motivate"-verb-eng
"ujednačavanje"-noun-hbs "balance"-verb-eng
"Enri"-properNoun-hbs "Enri"-properNoun-eng
"Hide"-properNoun-hbs "Hide"-properNoun-eng
"ISAF"-properNoun-hbs "ISAF"-properNoun-eng
"povišen"-adjective-hbs "hightened"-adjective-eng
"pripremljenost"-noun-hbs "preparation"-noun-eng
"spremnost"-noun-hbs "readiness"-noun-eng
"poboljšavati"-verb-hbs "improve"-verb-eng
"ugled"-noun-hbs "prestige"-noun-eng
"Linda"-properNoun-hbs "Linda"-properNoun-eng
"Karadaku"-properNoun-hbs "Karadaku"-properNoun-eng
"prihvaćati"-verb-hbs "accept"-verb-eng
"stavljati"-verb-hbs "put"-verb-eng
"stupati"-verb-hbs "march"-verb-eng
"ostajati"-verb-hbs "stay"-verb-eng
"derati"-verb-hbs "yell"-verb-eng
"derati"-verb-hbs "rip"-verb-eng
"gledati"-verb-hbs "look"-verb-eng
"gledati"-verb-hbs "watch"-verb-eng
"ogledati"-verb-hbs "glance"-verb-eng
"ogledati"-verb-hbs "reflect"-verb-eng
"obožavati"-verb-hbs "admire"-verb-eng
"gurati"-verb-hbs "push"-verb-eng
"disati"-verb-hbs "breathe"-verb-eng
"odati"-verb-hbs "betray"-verb-eng
"odati"-verb-hbs "pay"-verb-eng
"odati"-verb-hbs "reveal"-verb-eng
"odati"-verb-hbs "succumb"-verb-eng
"stati"-verb-hbs "stand"-verb-eng
"stati"-verb-hbs "stop"-verb-eng
"prati"-verb-hbs "wash"-verb-eng
"obuzeti"-verb-hbs "absorb"-verb-eng
"obuzeti"-verb-hbs "overcome"-verb-eng
"obuzeti"-verb-hbs "possess"-verb-eng
"izuzeti"-verb-hbs "exclude"-verb-eng
"izuzeti"-verb-hbs "exempt"-verb-eng
"sjediti"-verb-hbs "sit"-verb-eng
"vaditi"-verb-hbs "extract"-verb-eng
"vaditi"-verb-hbs "take out"-verb-eng
"izvaditi"-verb-hbs "extract"-verb-eng
"izvaditi"-verb-hbs "take out"-verb-eng
"izraditi"-verb-hbs "make"-verb-eng
"usporediti"-verb-hbs "compare"-verb-eng
"uporediti"-verb-hbs "compare"-verb-eng
"rasporediti"-verb-hbs "allocate"-verb-eng
"voditi"-verb-hbs "lead"-verb-eng
"graditi"-verb-hbs "build"-verb-eng
"suditi"-verb-hbs "judge"-verb-eng
"buditi"-verb-hbs "wake"-verb-eng
"probuditi"-verb-hbs "wake"-verb-eng
"probuditi"-verb-hbs "wake"-verb-eng
"probuditi"-verb-hbs "wake up"-verb-eng
"odgoditi"-verb-hbs "delay"-verb-eng
"odgoditi"-verb-hbs "postpone"-verb-eng
"izgraditi"-verb-hbs "build"-verb-eng
"odrediti"-verb-hbs "allot"-verb-eng
"odrediti"-verb-hbs "define"-verb-eng
"odrediti"-verb-hbs "determine"-verb-eng
"naslijediti"-verb-hbs "inherit"-verb-eng
"uslijediti"-verb-hbs "accompany"-verb-eng
"osloboditi"-verb-hbs "free"-verb-eng
"pobijediti"-verb-hbs "win"-verb-eng
"utvrditi"-verb-hbs "affirm"-verb-eng
"ubijediti"-verb-hbs "convince"-verb-eng
"ubijediti"-verb-hbs "persuade"-verb-eng
"osuditi"-verb-hbs "convict"-verb-eng
"pogoditi"-verb-hbs "hit"-verb-eng
"nuditi"-verb-hbs "offer"-verb-eng
"sprovoditi"-verb-hbs "carry out"-verb-eng
"šiti"-verb-hbs "sew"-verb-eng
"kriti"-verb-hbs "conceal"-verb-eng
"piti"-verb-hbs "drink"-verb-eng
"izbiti"-verb-hbs "beat"-verb-eng
"odbiti"-verb-hbs "decline"-verb-eng
"pokriti"-verb-hbs "cover"-verb-eng
"miti"-verb-hbs "wash"-verb-eng
"gostiti"-verb-hbs "feast"-verb-eng
"popustiti"-verb-hbs "give in"-verb-eng
"otpustiti"-verb-hbs "fire"-verb-eng
"napustiti"-verb-hbs "abandon"-verb-eng
"izvijestiti"-verb-hbs "inform"-verb-eng
"izvijestiti"-verb-hbs "report"-verb-eng
"navijestiti"-verb-hbs "announce"-verb-eng
"koristiti"-verb-hbs "use"-verb-eng
"iskoristiti"-verb-hbs "use"-verb-eng
"iskoristiti"-verb-hbs "take advantage of"-verb-eng
"oprostiti"-verb-hbs "forgive"-verb-eng
"oštetiti"-verb-hbs "damage"-verb-eng
"vratiti"-verb-hbs "bring back"-verb-eng
"vratiti"-verb-hbs "give back"-verb-eng
"vratiti"-verb-hbs "return"-verb-eng
"zaštititi"-verb-hbs "defend"-verb-eng
"štititi"-verb-hbs "defend"-verb-eng
"štetiti"-verb-hbs "damage"-verb-eng
"štetiti"-verb-hbs "harm"-verb-eng
"misliti"-verb-hbs "think"-verb-eng
"nositi"-verb-hbs "bear"-verb-eng
