"3MA"-properNoun-fra "3MA"-properNoun-spa
"A350"-properNoun-fra "A350"-properNoun-spa
"A380"-properNoun-fra "A380"-properNoun-spa
"à"-preposition-fra "a"-preposition-spa
"Aaium"-properNoun-fra "Aaium"-properNoun-spa
"Aalborg"-properNoun-fra "Aalborg"-properNoun-spa
"Aar"-properNoun-fra "Aar"-properNoun-spa
"Aaron"-properNoun-fra "Aarón"-properNoun-spa
"Aasheim"-properNoun-fra "Aasheim"-properNoun-spa
"Abad"-properNoun-fra "Abad"-properNoun-spa
"Abadan"-properNoun-fra "Abadan"-properNoun-spa
"Abadiño"-properNoun-fra "Abadiano"-properNoun-spa
"Abadiño"-properNoun-fra "Abadiño"-properNoun-spa
"abaissement"-noun-fra "descenso"-noun-spa
"abaisser"-verb-fra "bajar"-verb-spa
"Abaitúa"-properNoun-fra "Abaitúa"-properNoun-spa
"Abaltzisketa"-properNoun-fra "Abaltzisketa"-properNoun-spa
"Abando"-properNoun-fra "Abando"-properNoun-spa
"Abandoibarra"-properNoun-fra "Abandoibarra"-properNoun-spa
"abandon"-noun-fra "abandono"-noun-spa
"abandon"-noun-fra "abandono"-noun-spa
"abandonner"-verb-fra "abandonar"-verb-spa
"Abanto"-properNoun-fra "Abanto"-properNoun-spa
"ABAO"-noun-fra "ABAO"-noun-spa
"Abarca"-properNoun-fra "Abarca"-properNoun-spa
"Abartzuza"-properNoun-fra "Abartzuza"-properNoun-spa
"Abarzuza"-properNoun-fra "Abarzuza"-properNoun-spa
"Abárzuza"-properNoun-fra "Abárzuza"-properNoun-spa
"Abas"-properNoun-fra "Abas"-properNoun-spa
"Abas"-properNoun-fra "Abante"-properNoun-spa
"Abasalon"-properNoun-fra "Abasalon"-properNoun-spa
"Abascal"-properNoun-fra "Abascal"-properNoun-spa
"Abasolo"-properNoun-fra "Abasolo"-properNoun-spa
"abattement"-noun-fra "abatimiento"-noun-spa
"abattre"-verb-fra "abatir"-verb-spa
"abattre"-verb-fra "derrotar"-verb-spa
"abattre"-verb-fra "derrumbar"-verb-spa
"abattu"-adjective-fra "alicaído"-adjective-spa
"à aucun moment"-adverb-fra "en ningún momento"-adverb-spa
"à aucun titre"-adverb-fra "de ninguna de las maneras"-adverb-spa
"Abaunza"-properNoun-fra "Abaunza"-properNoun-spa
"Abaurreas"-properNoun-fra "Abaurreas"-properNoun-spa
"abaya"-noun-fra "abaya"-noun-spa
"Abba"-properNoun-fra "Abba"-properNoun-spa
"ABB"-noun-fra "ABB"-noun-spa
"Abbas"-properNoun-fra "Abbas"-properNoun-spa
"Abbas"-properNoun-fra "Abás"-properNoun-spa
"abbaye"-noun-fra "abadía"-noun-spa
"abbé"-noun-fra "abad"-noun-spa
"abbesse"-noun-fra "abadesa"-noun-spa
"à bientôt"-interjection-fra "hasta pronto"-interjection-spa
"Abbio"-properNoun-fra "Abbio"-properNoun-spa
"Abbondanzieri"-properNoun-fra "Abbondanzieri"-properNoun-spa
"à bord"-adverb-fra "a bordo"-adverb-spa
"Abbott"-properNoun-fra "Abbott"-properNoun-spa
"à but non lucratif"-adjective-fra "sin ánimo de lucro"-adjective-spa
"ABC"-properNoun-fra "ABC"-properNoun-spa
"à caractère général"-adverb-fra "con carácter general"-adverb-spa
"à cause de"-preposition-fra "a causa de"-preposition-spa
"à cause de quoi"-adverb-fra "por cuya causa"-adverb-spa
"à cause que"-subordinatingConjunction-fra "porque"-subordinatingConjunction-spa
"à ce moment-là"-adverb-fra "en aquel momento"-adverb-spa
"à ce propos"-adverb-fra "al respecto"-adverb-spa
"à ce sujet"-adverb-fra "al respecto"-adverb-spa
"à ce sujet"-adverb-fra "al respecto"-adverb-spa
"à ce temps-là"-adverb-fra "en aquel tiempo"-adverb-spa
"à cet effet"-adverb-fra "a tal efecto"-adverb-spa
"à cet égard"-adverb-fra "a este respecto"-adverb-spa
"à chaque instant"-adverb-fra "en todo momento"-adverb-spa
"à ciel ouvert"-adverb-fra "a cielo abierto"-adverb-spa
"à condition que"-subordinatingConjunction-fra "siempre y cuando"-subordinatingConjunction-spa
"à condition que"-subordinatingConjunction-fra "siempre que"-subordinatingConjunction-spa
"à coté"-adverb-fra "cerca"-adverb-spa
"à côté"-adverb-fra "cerca"-adverb-spa
"à coups de"-preposition-fra "a golpes de"-preposition-spa
"à court terme"-adverb-fra "a corto plazo"-adverb-spa
"à crédit"-adverb-fra "a plazos"-adverb-spa
"Abdallah"-properNoun-fra "Abdallah"-properNoun-spa
"Abdallah"-properNoun-fra "Abdalá"-properNoun-spa
"Abdallah"-properNoun-fra "Abdulá"-properNoun-spa
"à dedans"-adverb-fra "adentro"-adverb-spa
"à défaut de"-preposition-fra "a falta de"-preposition-spa
"à défaut de"-preposition-fra "en defecto de"-preposition-spa
"à dehors"-adverb-fra "fuera"-adverb-spa
"Abdel"-properNoun-fra "Abdel"-properNoun-spa
"Abdelaziz"-properNoun-fra "Abdelaziz"-properNoun-spa
"Abdelghani"-properNoun-fra "Abdelghani"-properNoun-spa
"Abdelhadi"-properNoun-fra "Abdelhadi"-properNoun-spa
"Abdelhak"-properNoun-fra "Abdelhak"-properNoun-spa
"Abdelkader"-properNoun-fra "Abdelkader"-properNoun-spa
"Abdelkhalak"-properNoun-fra "Abdelkhalak"-properNoun-spa
"Abdelkrim"-properNoun-fra "Abdelkrim"-properNoun-spa
"Abdellatif"-properNoun-fra "Abdellatif"-properNoun-spa
"Abdelli"-properNoun-fra "Abdelli"-properNoun-spa
"Abdelmajib"-properNoun-fra "Abdelmajib"-properNoun-spa
"Abdelqadem"-properNoun-fra "Abdelqadem"-properNoun-spa
"Abdenbi"-properNoun-fra "Abdenbi"-properNoun-spa
"Abdennabi"-properNoun-fra "Abdennabi"-properNoun-spa
"Abderrahman"-properNoun-fra "Abderrahman"-properNoun-spa
"Abderrahmane"-properNoun-fra "Abderrahmane"-properNoun-spa
"à des marches forcées"-adverb-fra "a marchas forzadas"-adverb-spa
"abdiquer"-verb-fra "abdicar"-verb-spa
"abdomen"-noun-fra "abdomen"-noun-spa
"à domicile"-adverb-fra "a domicilio"-adverb-spa
"à domicile"-adjective-fra "domiciliario"-adjective-spa
"à domicile"-adjective-fra "domiciliario"-adjective-spa
"à domicile"-adjective-fra "domiciliario"-adjective-spa
"à domicile"-adjective-fra "domiciliario"-adjective-spa
"à domicile"-adjective-fra "domiciliario"-adjective-spa
"Abdoulaye"-properNoun-fra "Abdoulaye"-properNoun-spa
"Abdrazakov"-properNoun-fra "Abdrazakov"-properNoun-spa
"abducteur"-noun-fra "abductor"-noun-spa
"abducteur"-adjective-fra "abductor"-adjective-spa
"abducteur"-adjective-fra "abductor"-adjective-spa
"abducteur"-adjective-fra "abductor"-adjective-spa
"Abdul"-properNoun-fra "Abdul"-properNoun-spa
"Abdülhamid II"-properNoun-fra "Abdul Hamid II"-properNoun-spa
"Abdulhaved"-properNoun-fra "Abdulhaved"-properNoun-spa
"Abdullah"-properNoun-fra "Abdullah"-properNoun-spa
"Abdullah Ahmad Badawi"-properNoun-fra "Abdullah Ahmad Badawi"-properNoun-spa
"Abdullah Gül"-properNoun-fra "Abdullah Gül"-properNoun-spa
"Abe"-properNoun-fra "Abe"-properNoun-spa
"Abeac"-noun-fra "Abeac"-noun-spa
"Abebe"-properNoun-fra "Abebe"-properNoun-spa
"à échelle"-adverb-fra "a escala"-adverb-spa
"Abed"-properNoun-fra "Abed"-properNoun-spa
"abeille"-noun-fra "abeja"-noun-spa
"Abel"-properNoun-fra "Abel"-properNoun-spa
"Abellán"-properNoun-fra "Abellán"-properNoun-spa
"Abellán"-properNoun-fra "Abellán"-properNoun-spa
"Abelló"-properNoun-fra "Abelló"-properNoun-spa
"Abenza"-properNoun-fra "Abenza"-properNoun-spa
"Abera"-properNoun-fra "Abera"-properNoun-spa
"Aberasturi"-properNoun-fra "Aberasturi"-properNoun-spa
"aberrant"-adjective-fra "aberrante"-adjective-spa
"aberrant"-adjective-fra "aberrante"-adjective-spa
"aberrant"-adjective-fra "aberrante"-adjective-spa
"aberration"-noun-fra "aberración"-noun-spa
"Aberri Eguna"-properNoun-fra "Aberri Eguna"-properNoun-spa
"abertzale"-adjective-fra "abertzale"-adjective-spa
"Abetone"-properNoun-fra "Abetone"-properNoun-spa
"Abetxuko"-properNoun-fra "Abetxuko"-properNoun-spa
"ABF"-noun-fra "ABF"-noun-spa
"à fond"-adverb-fra "a fondo"-adverb-spa
"à fonds perdu"-adverb-fra "a fondo perdido"-adverb-spa
"à force de"-preposition-fra "a fuerza de"-preposition-spa
"à grande échelle"-adverb-fra "a gran escala"-adverb-spa
"à grand-peine"-adverb-fra "a duras penas"-adverb-spa
"à huis clos"-adverb-fra "a puerta cerrada"-adverb-spa
"Abia"-properNoun-fra "Abia"-properNoun-spa
"Abiada"-properNoun-fra "Abiada"-properNoun-spa
"Abiba Diskojaia"-properNoun-fra "Abiba Diskojaia"-properNoun-spa
"Abidal"-properNoun-fra "Abidal"-properNoun-spa
"Abidjan"-properNoun-fra "Abiyán"-properNoun-spa
"Abidjan"-properNoun-fra "Abiyán"-properNoun-spa
"Abiera"-properNoun-fra "Abiera"-properNoun-spa
"à il"-adjective-fra "suyo"-adjective-spa
"abîme"-noun-fra "abismo"-noun-spa
"abîme"-noun-fra "abismo"-noun-spa
