French	Catalan	Correct/Wrong	Comments
âgé-adjective-fr	vell-adjective-ca	Correct	
défavorable-adjective-fr	hostil-adjective-ca	Correct	
choléra-noun-fr	ira-noun-ca	Correct	
Andreo-properNoun-fr	Andrés-properNoun-ca	Wrong	
Joan-properNoun-fr	Jean-properNoun-ca	Wrong	
grille-noun-fr	graella-noun-ca	Correct	
Alberta-properNoun-fr	Albert-properNoun-ca	Wrong	
commencer-verb-fr	dirigir-verb-ca	Wrong	
action-noun-fr	acte-noun-ca	Wrong	
gratitude-noun-fr	gratitud-noun-ca	Correct	
absurde-adjective-fr	forassenyat-adjective-ca	Wrong	
Jaime-properNoun-fr	Jaume-properNoun-ca	Wrong	
emplacement-noun-fr	lloc-noun-ca	Correct	
les États-Unis-properNoun-fr	els Estats Units d'Amèrica-properNoun-ca	Correct	
génétique-noun-fr	genètica-noun-ca	Correct	
modalité-noun-fr	rang-noun-ca	Wrong	
Tananarive-properNoun-fr	Antananarivo-properNoun-ca	Correct	
en bas-adverb-fr	al dessota-adverb-ca	Wrong	
flanc-noun-fr	costat-noun-ca	Wrong	
amas-noun-fr	pila-noun-ca	Correct	
file-noun-fr	columna-noun-ca	Wrong	
Guyane-properNoun-fr	Guyana-properNoun-ca	Correct	
cavité-noun-fr	forat-noun-ca	Correct	
augmentation-noun-fr	increment-noun-ca	Wrong	
dessous-adverb-fr	al dessota-adverb-ca	Correct	
compatissant-adjective-fr	humà-adjective-ca	Wrong	
Maldives-properNoun-fr	les Maldives-properNoun-ca	Correct	
voie-noun-fr	ferrocarril-noun-ca	Wrong	
distant-adjective-fr	llunyà-adjective-ca	Correct	
soigner-verb-fr	tenir cura-verb-ca	Correct	
à nouveau-adverb-fr	una altra vegada-adverb-ca	Wrong	
liaison-noun-fr	vincle-noun-ca	Correct	
clôture-noun-fr	tanca-noun-ca	Correct	
Ibérie-properNoun-fr	estat espanyol-properNoun-ca	Wrong	
Juliette-properNoun-fr	Julieta-properNoun-ca	Correct	
Ève-properNoun-fr	Eva-properNoun-ca	Correct	
douteux-adjective-fr	incert-adjective-ca	Correct	
vingt-trois-numeral-fr	vint-i-tres-numeral-ca	Correct	
