"adientment"-adverb-ca "adekvate"-adverb-eo
"adekvate"-adverb-eo "adientment"-adverb-ca
"favore"-adverb-eo "favorablement"-adverb-ca
"favorablement"-adverb-ca "favore"-adverb-eo
"baldaŭ"-adverb-eo "a curt termini"-adverb-ca
"a curt termini"-adverb-ca "baldaŭ"-adverb-eo
"bruske"-adverb-eo "bruscament"-adverb-ca
"bruscament"-adverb-ca "bruske"-adverb-eo
"més aviat"-adverb-ca "pli ĝuste"-adverb-eo
"pli ĝuste"-adverb-eo "més aviat"-adverb-ca
"jen"-adverb-eo "heus ací"-adverb-ca
"jen"-adverb-eo "heus aquí"-adverb-ca
"heus ací"-adverb-ca "jen"-adverb-eo
"heus aquí"-adverb-ca "jen"-adverb-eo
"longtempe"-adverb-eo "a llarg termini"-adverb-ca
"a llarg termini"-adverb-ca "longtempe"-adverb-eo
"longe"-adverb-eo "molt de temps"-adverb-ca
"molt de temps"-adverb-ca "longe"-adverb-eo
"admirinde"-adverb-eo "admirablement"-adverb-ca
"admirablement"-adverb-ca "admirinde"-adverb-eo
"quan"-relativePronoun-ca "kiam"-relativePronoun-eo
"kiam"-relativePronoun-eo "quan"-relativePronoun-ca
"kelkfoje"-adverb-eo "a voltes"-adverb-ca
"a voltes"-adverb-ca "kelkfoje"-adverb-eo
"potenciale"-adverb-eo "potencialment"-adverb-ca
"potencialment"-adverb-ca "potenciale"-adverb-eo
"fidele"-adverb-eo "fidelment"-adverb-ca
"fidelment"-adverb-ca "fidele"-adverb-eo
"konsentite"-adverb-eo "d'acord"-adverb-ca
"d'acord"-adverb-ca "konsentite"-adverb-eo
"ĉefe"-adverb-eo "cabdalment"-adverb-ca
"cabdalment"-adverb-ca "ĉefe"-adverb-eo
"peze"-adverb-eo "pesadament"-adverb-ca
"pesadament"-adverb-ca "peze"-adverb-eo
"a la dreta"-adverb-ca "dekstre"-adverb-eo
"dekstre"-adverb-eo "a la dreta"-adverb-ca
"terriblement"-adverb-ca "terure"-adverb-eo
"terure"-adverb-eo "terriblement"-adverb-ca
"finfine"-adverb-eo "per fi"-adverb-ca
"per fi"-adverb-ca "finfine"-adverb-eo
"col·lectivament"-adverb-ca "kolektive"-adverb-eo
"kolektive"-adverb-eo "col·lectivament"-adverb-ca
"kiel"-adverb-eo "com"-adverb-ca
"com"-adverb-ca "kiel"-adverb-eo
"del qual"-relativePronoun-ca "de kiu"-pronoun-eo
"del qual"-relativePronoun-ca "de kiu"-relativePronoun-eo
"de kiu"-pronoun-eo "del qual"-relativePronoun-ca
"de kiu"-relativePronoun-eo "del qual"-relativePronoun-ca
"aquell"-pronoun-ca "tiu"-pronoun-eo
"tiu"-pronoun-eo "aquell"-pronoun-ca
"quant"-relativePronoun-ca "kiom"-relativePronoun-eo
"quant"-relativePronoun-ca "kiom"-adverb-eo
"kiom"-relativePronoun-eo "quant"-relativePronoun-ca
"kiom"-relativePronoun-eo "quant"-noun-ca
"kiom"-adverb-eo "quant"-relativePronoun-ca
"kiom"-adverb-eo "quant"-noun-ca
"quant"-noun-ca "kiom"-relativePronoun-eo
"quant"-noun-ca "kiom"-adverb-eo
"tiu ĉi"-pronoun-eo "aquest"-pronoun-ca
"aquest"-pronoun-ca "tiu ĉi"-pronoun-eo
"aquest"-pronoun-ca "ĉi tiu"-pronoun-eo
"ĉi tiu"-pronoun-eo "aquest"-pronoun-ca
"ĉi tiu"-pronoun-eo "este"-pronoun-ca
"este"-pronoun-ca "ĉi tiu"-pronoun-eo
"si"-pronoun-eo "ell mateix"-pronoun-ca
"ell mateix"-pronoun-ca "si"-pronoun-eo
"ell mateix"-pronoun-ca "si"-reflexivePersonalPronoun-eo
"si"-reflexivePersonalPronoun-eo "ell mateix"-pronoun-ca
"tu mateix"-pronoun-ca "vi"-reflexivePersonalPronoun-eo
"tu mateix"-pronoun-ca "vi"-pronoun-eo
"vi"-reflexivePersonalPronoun-eo "tu mateix"-pronoun-ca
"vi"-reflexivePersonalPronoun-eo "vosaltres mateixos"-pronoun-ca
"vi"-pronoun-eo "tu mateix"-pronoun-ca
"vi"-pronoun-eo "vosaltres mateixos"-pronoun-ca
"vosaltres mateixos"-pronoun-ca "vi"-reflexivePersonalPronoun-eo
"vosaltres mateixos"-pronoun-ca "vi"-pronoun-eo
"iu ajn"-pronoun-eo "qualsevol"-pronoun-ca
"qualsevol"-pronoun-ca "iu ajn"-pronoun-eo
"qualsevol"-pronoun-ca "kiu ajn"-pronoun-eo
"kiu ajn"-pronoun-eo "qualsevol"-pronoun-ca
"io"-pronoun-eo "quelcom"-pronoun-ca
"quelcom"-pronoun-ca "io"-pronoun-eo
"kie"-relativePronoun-eo "a on"-adverb-ca
"kie"-relativePronoun-eo "on"-relativePronoun-ca
"a on"-adverb-ca "kie"-relativePronoun-eo
"on"-relativePronoun-ca "kie"-relativePronoun-eo
"koncerne al"-preposition-eo "respecte a"-preposition-ca
"koncerne al"-preposition-eo "respecte de"-preposition-ca
"respecte a"-preposition-ca "koncerne al"-preposition-eo
"respecte de"-preposition-ca "koncerne al"-preposition-eo
"flanke de"-preposition-eo "al costat de"-preposition-ca
"al costat de"-preposition-ca "flanke de"-preposition-eo
"òptim"-adjective-ca "optimuma"-adjective-eo
"optimuma"-adjective-eo "òptim"-adjective-ca
"malaktuala"-adjective-eo "obsolet"-adjective-ca
"obsolet"-adjective-ca "malaktuala"-adjective-eo
"mediador"-adjective-ca "mediacia"-adjective-eo
"mediacia"-adjective-eo "mediador"-adjective-ca
"pera"-adjective-eo "intermediari"-adjective-ca
"intermediari"-adjective-ca "pera"-adjective-eo
"duona"-adjective-eo "mig"-adjective-ca
"mig"-adjective-ca "duona"-adjective-eo
"prospera"-adjective-eo "pròsper"-adjective-ca
"pròsper"-adjective-ca "prospera"-adjective-eo
"innat"-adjective-ca "kunnaskita"-adjective-eo
"kunnaskita"-adjective-eo "innat"-adjective-ca
"konstrua"-adjective-eo "constructiu"-adjective-ca
"constructiu"-adjective-ca "konstrua"-adjective-eo
"referenci"-verb-eo "referenciar"-verb-ca
"referenciar"-verb-ca "referenci"-verb-eo
"ĉifri"-verb-eo "encriptar"-verb-ca
"encriptar"-verb-ca "ĉifri"-verb-eo
"pionira"-adjective-eo "innovador"-adjective-ca
"pionira"-adjective-eo "capdavanter"-adjective-ca
"pionira"-adjective-eo "pioner"-adjective-ca
"innovador"-adjective-ca "pionira"-adjective-eo
"capdavanter"-adjective-ca "pionira"-adjective-eo
"pioner"-adjective-ca "pionira"-adjective-eo
"reblar"-verb-ca "niti"-verb-eo
"niti"-verb-eo "reblar"-verb-ca
"kvalifikita"-adjective-eo "qualificat"-adjective-ca
"qualificat"-adjective-ca "kvalifikita"-adjective-eo
"paspago"-noun-eo "peatge"-noun-ca
"peatge"-noun-ca "paspago"-noun-eo
"sekvenco"-noun-eo "seqüència"-noun-ca
"seqüència"-noun-ca "sekvenco"-noun-eo
"sospir"-noun-ca "suspiro"-noun-eo
"suspiro"-noun-eo "sospir"-noun-ca
"taksiisto"-noun-eo "taxista"-noun-ca
"taxista"-noun-ca "taksiisto"-noun-eo
"codificació"-noun-ca "kodigo"-noun-eo
"codificació"-noun-ca "kodado"-noun-eo
"kodigo"-noun-eo "codificació"-noun-ca
"kodado"-noun-eo "codificació"-noun-ca
"degrado"-noun-eo "degradació"-noun-ca
"degradació"-noun-ca "degrado"-noun-eo
"precedenco"-noun-eo "precedent"-noun-ca
"precedent"-noun-ca "precedenco"-noun-eo
"dubo"-noun-eo "dubte"-noun-ca
"dubte"-noun-ca "dubo"-noun-eo
"caçador"-noun-ca "ĉasisto"-noun-eo
"ĉasisto"-noun-eo "caçador"-noun-ca
"sensor"-noun-ca "sentilo"-noun-eo
"sensor"-noun-ca "sensilo"-noun-eo
"sentilo"-noun-eo "sensor"-noun-ca
"sensilo"-noun-eo "sensor"-noun-ca
"trovo"-noun-eo "troballa"-noun-ca
"troballa"-noun-ca "trovo"-noun-eo
