"lo"-determiner-es "la"-determiner-eo
"la"-determiner-eo "lo"-determiner-es
"denove"-adverb-eo "otra vez"-adverb-es
"otra vez"-adverb-es "denove"-adverb-eo
"ĉiuokaze"-adverb-eo "en todo caso"-adverb-es
"en todo caso"-adverb-es "ĉiuokaze"-adverb-eo
"ante todo"-adverb-es "unue"-adverb-eo
"unue"-adverb-eo "ante todo"-adverb-es
"unue"-adverb-eo "en primer lugar"-adverb-es
"en primer lugar"-adverb-es "unue"-adverb-eo
"temprano"-adverb-es "frue"-adverb-eo
"frue"-adverb-eo "temprano"-adverb-es
"de pronto"-adverb-es "subite"-adverb-eo
"subite"-adverb-eo "de pronto"-adverb-es
"subite"-adverb-eo "de repente"-adverb-es
"de repente"-adverb-es "subite"-adverb-eo
"tute"-adverb-eo "de todo punto"-adverb-es
"de todo punto"-adverb-es "tute"-adverb-eo
"longe"-adverb-eo "mucho tiempo"-adverb-es
"mucho tiempo"-adverb-es "longe"-adverb-eo
"simple"-adverb-eo "lisa y llanamente"-adverb-es
"lisa y llanamente"-adverb-es "simple"-adverb-eo
"plene"-adverb-eo "henchidamente"-adverb-es
"henchidamente"-adverb-es "plene"-adverb-eo
"firmemente"-adverb-es "firme"-adverb-eo
"firme"-adverb-eo "firmemente"-adverb-es
"certe"-adverb-eo "seguro"-adverb-es
"seguro"-adverb-es "certe"-adverb-eo
"sendube"-adverb-eo "sin duda alguna"-adverb-es
"sin duda alguna"-adverb-es "sendube"-adverb-eo
"en adelante"-adverb-es "de nun"-adverb-eo
"de nun"-adverb-eo "en adelante"-adverb-es
"si"-pronoun-eo "sí"-reflexivePersonalPronoun-es
"sí"-reflexivePersonalPronoun-es "si"-pronoun-eo
"sí"-reflexivePersonalPronoun-es "si"-reflexivePersonalPronoun-eo
"si"-reflexivePersonalPronoun-eo "sí"-reflexivePersonalPronoun-es
"prpers"-pronoun-eo "tú"-pronoun-es
"prpers"-pronoun-eo "él"-pronoun-es
"prpers"-pronoun-eo "le"-pronoun-es
"prpers"-pronoun-eo "yo"-pronoun-es
"tú"-pronoun-es "prpers"-pronoun-eo
"él"-pronoun-es "prpers"-pronoun-eo
"le"-pronoun-es "prpers"-pronoun-eo
"yo"-pronoun-es "prpers"-pronoun-eo
"kiu"-relativePronoun-eo "lo cual"-relativePronoun-es
"kiu"-relativePronoun-eo "el cual"-noun-es
"kiu"-relativePronoun-eo "el cual"-relativePronoun-es
"kiu"-relativePronoun-eo "quien"-relativePronoun-es
"kiu"-relativePronoun-eo "quien"-noun-es
"lo cual"-relativePronoun-es "kiu"-relativePronoun-eo
"el cual"-noun-es "kiu"-relativePronoun-eo
"el cual"-relativePronoun-es "kiu"-relativePronoun-eo
"quien"-relativePronoun-es "kiu"-relativePronoun-eo
"quien"-relativePronoun-es "kiu"-pronoun-eo
"quien"-noun-es "kiu"-relativePronoun-eo
"quien"-noun-es "kiu"-pronoun-eo
"kiu"-pronoun-eo "quien"-relativePronoun-es
"kiu"-pronoun-eo "quien"-noun-es
"kio"-relativePronoun-eo "lo que"-relativePronoun-es
"kio"-relativePronoun-eo "lo que"-noun-es
"kio"-relativePronoun-eo "cuanto"-noun-es
"lo que"-relativePronoun-es "kio"-relativePronoun-eo
"lo que"-noun-es "kio"-relativePronoun-eo
"cuanto"-noun-es "kio"-relativePronoun-eo
"kie"-adverb-eo "adonde"-relativePronoun-es
"adonde"-relativePronoun-es "kie"-adverb-eo
"adonde"-relativePronoun-es "kie"-relativePronoun-eo
"kie"-relativePronoun-eo "adonde"-relativePronoun-es
"kora"-adjective-eo "cardiaco"-adjective-es
"cardiaco"-adjective-es "kora"-adjective-eo
"stumbli"-verb-eo "tropezar"-verb-es
"tropezar"-verb-es "stumbli"-verb-eo
"disculpar"-verb-es "ekskuzi"-verb-eo
"ekskuzi"-verb-eo "disculpar"-verb-es
"nostalgio"-noun-eo "añoranza"-noun-es
"añoranza"-noun-es "nostalgio"-noun-eo
"tapujo"-noun-es "funelo"-noun-eo
"funelo"-noun-eo "tapujo"-noun-es
"travivaĵo"-noun-eo "veteranía"-noun-es
"veteranía"-noun-es "travivaĵo"-noun-eo
"veteranía"-noun-es "sperto"-noun-eo
"sperto"-noun-eo "veteranía"-noun-es
"entombigo"-noun-eo "enterramiento"-noun-es
"enterramiento"-noun-es "entombigo"-noun-eo
"kalumnio"-noun-eo "difamación"-noun-es
"difamación"-noun-es "kalumnio"-noun-eo
"consciencia"-noun-es "konscienco"-noun-eo
"konscienco"-noun-eo "consciencia"-noun-es
"nuligo"-noun-eo "anulación"-noun-es
"anulación"-noun-es "nuligo"-noun-eo
"fermo"-noun-eo "cerramiento"-noun-es
"cerramiento"-noun-es "fermo"-noun-eo
"montrofenestro"-noun-eo "aparador"-noun-es
"aparador"-noun-es "montrofenestro"-noun-eo
"aserción"-noun-es "aserto"-noun-eo
"aserto"-noun-eo "aserción"-noun-es
"abomeno"-noun-eo "aversión"-noun-es
"aversión"-noun-es "abomeno"-noun-eo
"dolĉaĵo"-noun-eo "chuchería"-noun-es
"chuchería"-noun-es "dolĉaĵo"-noun-eo
"sekreto"-noun-eo "entresijo"-noun-es
"entresijo"-noun-es "sekreto"-noun-eo
"trasporte"-noun-es "transporto"-noun-eo
"transporto"-noun-eo "trasporte"-noun-es
"transporto"-noun-eo "trasferencia"-noun-es
"trasferencia"-noun-es "transporto"-noun-eo
"trasferencia"-noun-es "ĝiro"-noun-eo
"ĝiro"-noun-eo "trasferencia"-noun-es
"ligo"-noun-eo "atadura"-noun-es
"ligo"-noun-eo "link"-noun-es
"ligo"-noun-eo "ligazón"-noun-es
"atadura"-noun-es "ligo"-noun-eo
"link"-noun-es "ligo"-noun-eo
"ligazón"-noun-es "ligo"-noun-eo
"laboro"-noun-eo "curro"-noun-es
"curro"-noun-es "laboro"-noun-eo
"búcaro"-noun-es "vazo"-noun-eo
"vazo"-noun-eo "búcaro"-noun-es
"extravío"-noun-es "perdo"-noun-eo
"perdo"-noun-eo "extravío"-noun-es
"geedziĝo"-noun-eo "casamiento"-noun-es
"casamiento"-noun-es "geedziĝo"-noun-eo
"malsano"-noun-eo "dolencia"-noun-es
"dolencia"-noun-es "malsano"-noun-eo
"linio"-noun-eo "renglón"-noun-es
"renglón"-noun-es "linio"-noun-eo
"inspektado"-noun-eo "inspección"-noun-es
"inspección"-noun-es "inspektado"-noun-eo
"kompreno"-noun-eo "entendimiento"-noun-es
"entendimiento"-noun-es "kompreno"-noun-eo
"evaluación"-noun-es "takso"-noun-eo
"evaluación"-noun-es "taksado"-noun-eo
"takso"-noun-eo "evaluación"-noun-es
"taksado"-noun-eo "evaluación"-noun-es
"zono"-noun-eo "talla"-noun-es
"talla"-noun-es "zono"-noun-eo
"talla"-noun-es "grandeco"-noun-eo
"grandeco"-noun-eo "talla"-noun-es
"kvanto"-noun-eo "cuantía"-noun-es
"cuantía"-noun-es "kvanto"-noun-eo
"sieĝo"-noun-eo "cerco"-noun-es
"cerco"-noun-es "sieĝo"-noun-eo
"serĉo"-noun-eo "busca"-noun-es
"busca"-noun-es "serĉo"-noun-eo
"alzada"-noun-es "alteco"-noun-eo
"alzada"-noun-es "alto"-noun-eo
"alteco"-noun-eo "alzada"-noun-es
"alto"-noun-eo "alzada"-noun-es
"longeco"-noun-eo "eslora"-noun-es
"eslora"-noun-es "longeco"-noun-eo
"eslora"-noun-es "longitudo"-noun-eo
"longitudo"-noun-eo "eslora"-noun-es
"baraĵo"-noun-eo "presa"-noun-es
"presa"-noun-es "baraĵo"-noun-eo
"presa"-noun-es "preno"-noun-eo
"presa"-noun-es "kaptaĵo"-noun-eo
"preno"-noun-eo "presa"-noun-es
"kaptaĵo"-noun-eo "presa"-noun-es
"iniciato"-noun-eo "iniciación"-noun-es
"iniciación"-noun-es "iniciato"-noun-eo
"aventuro"-noun-eo "andanza"-noun-es
"andanza"-noun-es "aventuro"-noun-eo
"specimeno"-noun-eo "espécimen"-noun-es
"espécimen"-noun-es "specimeno"-noun-eo
"halto"-noun-eo "parada"-noun-es
"parada"-noun-es "halto"-noun-eo
"marŝo"-noun-eo "andadura"-noun-es
"andadura"-noun-es "marŝo"-noun-eo
"medio"-noun-eo "medioambiente"-noun-es
"medioambiente"-noun-es "medio"-noun-eo
"posedanto"-noun-eo "casero"-noun-es
"casero"-noun-es "posedanto"-noun-eo
"casero"-noun-es "proprietulo"-noun-eo
"casero"-noun-es "mastro"-noun-eo
"proprietulo"-noun-eo "casero"-noun-es
"mastro"-noun-eo "casero"-noun-es
"korbo"-noun-eo "chistera"-noun-es
"chistera"-noun-es "korbo"-noun-eo
"dorno"-noun-eo "raspa"-noun-es
"raspa"-noun-es "dorno"-noun-eo
"adición"-noun-es "adicio"-noun-eo
"adicio"-noun-eo "adición"-noun-es
"knabo"-noun-eo "chiquillo"-noun-es
"chiquillo"-noun-es "knabo"-noun-eo
"infano"-noun-eo "infante"-noun-es
"infante"-noun-es "infano"-noun-eo
"sidejo"-noun-eo "seo"-noun-es
"seo"-noun-es "sidejo"-noun-eo
"konsilo"-noun-eo "asesoramiento"-noun-es
"asesoramiento"-noun-es "konsilo"-noun-eo
"rondo"-noun-eo "aro"-noun-es
"aro"-noun-es "rondo"-noun-eo
"espera"-noun-es "atendo"-noun-eo
"atendo"-noun-eo "espera"-noun-es
"juzgado"-noun-es "tribunalo"-noun-eo
"tribunalo"-noun-eo "juzgado"-noun-es
"naturo"-noun-eo "natura"-noun-es
"natura"-noun-es "naturo"-noun-eo
"substanco"-noun-eo "substancia"-noun-es
"substancia"-noun-es "substanco"-noun-eo
"parecer"-noun-es "opinio"-noun-eo
"opinio"-noun-eo "parecer"-noun-es
"kvalifiko"-noun-eo "cualificación"-noun-es
"cualificación"-noun-es "kvalifiko"-noun-eo
"gana"-noun-es "malsato"-noun-eo
"gana"-noun-es "apetito"-noun-eo
"malsato"-noun-eo "gana"-noun-es
"malsato"-noun-eo "hambruna"-noun-es
"apetito"-noun-eo "gana"-noun-es
"hambruna"-noun-es "malsato"-noun-eo
"bazi"-verb-eo "fundamentar"-verb-es
"fundamentar"-verb-es "bazi"-verb-eo
"fondi"-verb-eo "fundar"-verb-es
"fundar"-verb-es "fondi"-verb-eo
"frosti"-verb-eo "congelar"-verb-es
"congelar"-verb-es "frosti"-verb-eo
"mencii"-verb-eo "mentar"-verb-es
"mentar"-verb-es "mencii"-verb-eo
"votar"-verb-es "baloti"-verb-eo
"baloti"-verb-eo "votar"-verb-es
"marborda"-adjective-eo "litoral"-adjective-es
"litoral"-adjective-es "marborda"-adjective-eo
"farebla"-adjective-eo "dable"-adjective-es
"dable"-adjective-es "farebla"-adjective-eo
"ronĝi"-verb-eo "mordisquear"-verb-es
"mordisquear"-verb-es "ronĝi"-verb-eo
"afectado"-adjective-es "afekta"-adjective-eo
"afectado"-adjective-es "afektema"-adjective-eo
"afekta"-adjective-eo "afectado"-adjective-es
"afektema"-adjective-eo "afectado"-adjective-es
"dirigir"-verb-es "alparoli"-verb-eo
"alparoli"-verb-eo "dirigir"-verb-es
"reparar"-verb-es "kompensi"-verb-eo
"kompensi"-verb-eo "reparar"-verb-es
"sakri"-verb-eo "jurar"-verb-es
"jurar"-verb-es "sakri"-verb-eo
"koncentri"-verb-eo "reunir"-verb-es
"reunir"-verb-es "koncentri"-verb-eo
"adapti"-verb-eo "adecuar"-verb-es
"adecuar"-verb-es "adapti"-verb-eo
"acordar"-verb-es "koncedi"-verb-eo
"koncedi"-verb-eo "acordar"-verb-es
"koncedi"-verb-eo "admitir"-verb-es
"riceli"-verb-eo "receptar"-verb-es
"receptar"-verb-es "riceli"-verb-eo
"ekspliki"-verb-eo "contar"-verb-es
"contar"-verb-es "ekspliki"-verb-eo
"subrayar"-verb-es "emfazi"-verb-eo
"emfazi"-verb-eo "subrayar"-verb-es
"emfazi"-verb-eo "destacar"-verb-es
"emfazi"-verb-eo "acentuar"-verb-es
"destacar"-verb-es "emfazi"-verb-eo
"acentuar"-verb-es "emfazi"-verb-eo
"abarcar"-verb-es "inkludi"-verb-eo
"inkludi"-verb-eo "abarcar"-verb-es
"inkludi"-verb-eo "comprender"-verb-es
"comprender"-verb-es "inkludi"-verb-eo
"strikti"-verb-eo "apretar"-verb-es
"apretar"-verb-es "strikti"-verb-eo
"apretar"-verb-es "stringi"-verb-eo
"stringi"-verb-eo "apretar"-verb-es
"anunciar"-verb-es "afiŝi"-verb-eo
"afiŝi"-verb-eo "anunciar"-verb-es
"concordar"-verb-es "akordi"-verb-eo
"akordi"-verb-eo "concordar"-verb-es
"admitir"-verb-es "koncedi"-verb-eo
"admitir"-verb-es "agnoski"-verb-eo
"agnoski"-verb-eo "admitir"-verb-es
"agnoski"-verb-eo "reconocer"-verb-es
"reconocer"-verb-es "agnoski"-verb-eo
"esperar"-verb-es "ĝisatendi"-verb-eo
"esperar"-verb-es "esperi"-verb-eo
"ĝisatendi"-verb-eo "esperar"-verb-es
"esperi"-verb-eo "esperar"-verb-es
"klasifiki"-verb-eo "ordenar"-verb-es
"ordenar"-verb-es "klasifiki"-verb-eo
"acechar"-verb-es "gvati"-verb-eo
"gvati"-verb-eo "acechar"-verb-es
"muerto"-adjective-es "morta"-adjective-eo
"morta"-adjective-eo "muerto"-adjective-es
"adicii"-verb-eo "añadir"-verb-es
"añadir"-verb-es "adicii"-verb-eo
"etiquetar"-verb-es "etikedi"-verb-eo
"etikedi"-verb-eo "etiquetar"-verb-es
"abomeninda"-adjective-eo "detestable"-adjective-es
"detestable"-adjective-es "abomeninda"-adjective-eo
"inconveniente"-adjective-es "malkonvena"-adjective-eo
"malkonvena"-adjective-eo "inconveniente"-adjective-es
"lamenti"-verb-eo "quejar"-verb-es
"quejar"-verb-es "lamenti"-verb-eo
"lezi"-verb-eo "herir"-verb-es
"herir"-verb-es "lezi"-verb-eo
"atribui"-verb-eo "adscribir"-verb-es
"adscribir"-verb-es "atribui"-verb-eo
"establi"-verb-eo "afincar"-verb-es
"afincar"-verb-es "establi"-verb-eo
"amendi"-verb-eo "subsanar"-verb-es
"subsanar"-verb-es "amendi"-verb-eo
"kolapsi"-verb-eo "hundir"-verb-es
"hundir"-verb-es "kolapsi"-verb-eo
