English	Catalan	Correct/Wrong	Comments
stiff-adjective-en	rígid-adjective-ca	Correct	
furthermore-adverb-en	a més a més-adverb-ca	Correct	
disappointment-noun-en	desengany-noun-ca	Correct	
diary-noun-en	agenda-noun-ca	Correct	
frequent-adjective-en	freqüent-adjective-ca	Correct	
exhibition-noun-en	exhibició-noun-ca	Correct	
Luke-properNoun-en	Luc-properNoun-ca	Wrong	
seminar-noun-en	seminari-noun-ca	Correct	
village-noun-en	ètnia-noun-ca	Wrong	
chairman-noun-en	president-noun-ca	Correct	
reach for-verb-en	copsar-verb-ca	Wrong	
confidence-noun-en	fe-noun-ca	Wrong	
deer-noun-en	cérvol-noun-ca	Correct	
crucible-noun-en	gresol-noun-ca	Correct	
dialect-noun-en	dialecte-noun-ca	Correct	
marketing-noun-en	màrqueting-noun-ca	Correct	
son-noun-en	noi-noun-ca	Wrong	
row-noun-en	filera-noun-ca	Correct	
partition-noun-en	partitura-noun-ca	Wrong	
amphitheatre-noun-en	amfiteatre-noun-ca	Correct	
faction-noun-en	facció-noun-ca	Correct	
illusion-noun-en	il·lusió-noun-ca	Correct	
applause-noun-en	aplaudiment-noun-ca	Correct	
pronunciation-noun-en	pronunciació-noun-ca	Correct	
cold-noun-en	fred-noun-ca	Wrong	
Saxony-properNoun-en	Saxònia-properNoun-ca	Correct	
wisdom-noun-en	seny-noun-ca	Correct	
in Asturian-adverb-en	en asturià-adverb-ca	Correct	
brave-adjective-en	valerós-adjective-ca	Correct	
indiscretion-noun-en	indiscreció-noun-ca	Correct	
supplement-noun-en	suplement-noun-ca	Correct	
Horace-properNoun-en	Horaci-properNoun-ca	Correct	But only when talking about Quintus Horatius Flaccus
goblin-noun-en	follet-noun-ca	Correct	
miniature-noun-en	miniatura-noun-ca	Correct	
speech-noun-en	discurs-noun-ca	Correct	
France-properNoun-en	estat francès-properNoun-ca	Wrong	
authentic-adjective-en	ver-adjective-ca	Correct	
bright-adjective-en	brillant-adjective-ca	Correct	
portable-adjective-en	portàtil-adjective-ca	Correct	
rate-noun-en	índex-noun-ca	Correct	
dockyard-noun-en	drassana-noun-ca	Correct	
tourist-noun-en	turista-noun-ca	Correct	
indifferent-adjective-en	indiferent-adjective-ca	Correct	
appetite-noun-en	gana-noun-ca	Correct	
resolution-noun-en	solució-noun-ca	Correct	
whim-noun-en	caprici-noun-ca	Correct	
currency-noun-en	divisa-noun-ca	Correct	
monarch-noun-en	monarca-noun-ca	Correct	
meal-noun-en	àpat-noun-ca	Correct	
creation-noun-en	criatura-noun-ca	Correct	
component-noun-en	element-noun-ca	Correct	
death-noun-en	mort-noun-ca	Correct	
scene-noun-en	escenari-noun-ca	Correct	
decorate-verb-en	condecorar-verb-ca	Correct	
civilisation-noun-en	civilització-noun-ca	Correct	
dictator-noun-en	dictador-noun-ca	Correct	
fill in-verb-en	emplenar-verb-ca	Correct	
floor-noun-en	pis-noun-ca	Correct	
nationalist-noun-en	nacionalista-noun-ca	Correct	
fiber-noun-en	fibra-noun-ca	Correct	
skull-noun-en	calavera-noun-ca	Correct	
leader-noun-en	líder-noun-ca	Correct	
Northern Ireland-properNoun-en	Irlanda del Nord-properNoun-ca	Correct	
oxygen-noun-en	oxigen-noun-ca	Correct	
connection-noun-en	lligam-noun-ca	Correct	
utensil-noun-en	recipient-noun-ca	Wrong	
beak-noun-en	pic-noun-ca	Wrong	
worker-noun-en	empleat-noun-ca	Correct	
usefulness-noun-en	utilitat-noun-ca	Correct	
sign-noun-en	signe-noun-ca	Correct	
bay-noun-en	badia-noun-ca	Correct	
cut-noun-en	tall-noun-ca	Correct	
ambiguity-noun-en	ambigüitat-noun-ca	Correct	
Antartic-properNoun-en	Antàrtida-properNoun-ca	Correct	
courtyard-noun-en	tribunal-noun-ca	Wrong	
Robert-properNoun-en	Roberto-properNoun-ca	Wrong	
realism-noun-en	realisme-noun-ca	Correct	
furniture-noun-en	moble-noun-ca	Wrong	
park-verb-en	estacionar-verb-ca	Correct	
outright-adverb-en	completament-adverb-ca	Correct	
lottery-noun-en	loteria-noun-ca	Correct	
afterward-adverb-en	a continuació-adverb-ca	Correct	
Mississippi-properNoun-en	Mississipí-properNoun-ca	Correct	
orbit-noun-en	òrbita-noun-ca	Correct	
demonstration-noun-en	demostració-noun-ca	Correct	
white-adjective-en	blanc-adjective-ca	Correct	Can't believe this is not in the dictionary!
renown-noun-en	renom-noun-ca	Correct	
youngster-noun-en	senyoret-noun-ca	Wrong	
nucleus-noun-en	nucli-noun-ca	Correct	
revolution-noun-en	revolució-noun-ca	Correct	
dossier-noun-en	expedient-noun-ca	Correct	
lease-noun-en	arrendament-noun-ca	Correct	
pressure-noun-en	pressió-noun-ca	Correct	
pair-noun-en	duo-noun-ca	Correct	
estimate-verb-en	avaluar-verb-ca	Correct	
tapestry-noun-en	tapís-noun-ca	Correct	
armour-noun-en	cuirassa-noun-ca	Correct	
cook-noun-en	cuiner-noun-ca	Correct	Not in the dictionary?
path-noun-en	trajectòria-noun-ca	Correct	
native-noun-en	indígena-noun-ca	Correct	
thirty-four-numeral-en	trenta-quatre-numeral-ca	Correct	
pipe-noun-en	tub-noun-ca	Correct	
arrival-noun-en	arribada-noun-ca	Correct	
therapy-noun-en	tractament-noun-ca	Correct	
twenty-nine-numeral-en	vint-i-nou-numeral-ca	Correct	Not already in the dictionary=
hair-noun-en	pèl-noun-ca	Correct	
ruler-noun-en	governant-noun-ca	Correct	
clergyman-noun-en	clergue-noun-ca	Correct	
traveller-noun-en	viatger-noun-ca	Correct	
appropriate-adjective-en	adequat-adjective-ca	Correct	
Eurasia-properNoun-en	Euràsia-properNoun-ca	Correct	
somewhat-adverb-en	un poc-adverb-ca	Correct	
morality-noun-en	moralitat-noun-ca	Correct	
ancestor-noun-en	avantpassat-noun-ca	Correct	
network-noun-en	xarxa-noun-ca	Correct	
philologist-noun-en	filòleg-noun-ca	Correct	
experiment-noun-en	experiència-noun-ca	Wrong	
Albania-properNoun-en	Albània-properNoun-ca	Correct	
strain-verb-en	tesar-verb-ca	Correct	
ambassador-noun-en	ambaixador-noun-ca	Correct	
seventy-four-numeral-en	setanta-quatre-numeral-ca	Correct	
seventy-nine-numeral-en	setanta-nou-numeral-ca	Correct	
plain-noun-en	planura-noun-ca	Correct	
Ceylon-properNoun-en	Ceilan-properNoun-ca	Correct	
quality-noun-en	qualitat-noun-ca	Correct	
layer-noun-en	capa-noun-ca	Correct	
Buddha-properNoun-en	Buda-properNoun-ca	Correct	
singing-noun-en	cant-noun-ca	Correct	
dentist-noun-en	dentista-noun-ca	Correct	
pile-noun-en	munt-noun-ca	Correct	
power-noun-en	potència-noun-ca	Correct	
parody-noun-en	paròdia-noun-ca	Correct	
plot-noun-en	intriga-noun-ca	Wrong	But close
gross-adjective-en	brut-adjective-ca	Correct	
descend-verb-en	abaixar-verb-ca	Wrong	Wrong argument frame
jar-noun-en	pot-noun-ca	Correct	
god-noun-en	déu-noun-ca	Correct	
terrorist-adjective-en	terrorista-adjective-ca	Correct	
gentle-adjective-en	dolç-adjective-ca	Correct	
charge-noun-en	acusació-noun-ca	Correct	
fame-noun-en	renom-noun-ca	Correct	
negation-noun-en	negació-noun-ca	Correct	
forecast-noun-en	pronòstic-noun-ca	Correct	
master-noun-en	patró-noun-ca	Correct	
cyclone-noun-en	cicló-noun-ca	Correct	
degree-noun-en	títol-noun-ca	Correct	
orthodox-adjective-en	ortodox-adjective-ca	Correct	
plan-noun-en	plànol-noun-ca	Correct	
cape-noun-en	cap-noun-ca	Correct	
delicate-adjective-en	suau-adjective-ca	Wrong	Too far.
