"nokte"-adverb-eo "la nuit"-adverb-fr
"la nuit"-adverb-fr "nokte"-adverb-eo
"samtempe"-adverb-eo "en même temps"-adverb-fr
"en même temps"-adverb-fr "samtempe"-adverb-eo
"depuis lors"-adverb-fr "de tiam"-adverb-eo
"de tiam"-adverb-eo "depuis lors"-adverb-fr
"urĝe"-adverb-eo "urgentement"-adverb-fr
"urgentement"-adverb-fr "urĝe"-adverb-eo
"tiel"-adverb-eo "tellement"-adverb-fr
"tellement"-adverb-fr "tiel"-adverb-eo
"kutime"-adverb-eo "d'habitude"-adverb-fr
"d'habitude"-adverb-fr "kutime"-adverb-eo
"tre"-adverb-eo "guère"-adverb-fr
"guère"-adverb-fr "tre"-adverb-eo
"kio"-pronoun-eo "ce qui"-relativePronoun-fr
"ce qui"-relativePronoun-fr "kio"-pronoun-eo
"ce qui"-relativePronoun-fr "kio"-relativePronoun-eo
"kio"-relativePronoun-eo "ce qui"-relativePronoun-fr
"kiu"-relativePronoun-eo "celui qui"-relativePronoun-fr
"kiu"-relativePronoun-eo "celui que"-relativePronoun-fr
"celui qui"-relativePronoun-fr "kiu"-relativePronoun-eo
"celui que"-relativePronoun-fr "kiu"-relativePronoun-eo
"prpers"-pronoun-eo "on"-reflexivePersonalPronoun-fr
"on"-reflexivePersonalPronoun-fr "prpers"-pronoun-eo
"krom"-preposition-eo "en plus de"-preposition-fr
"en plus de"-preposition-fr "krom"-preposition-eo
"koncerne al"-preposition-eo "à l'égard de"-preposition-fr
"à l'égard de"-preposition-fr "koncerne al"-preposition-eo
"fiki"-verb-eo "foutre"-verb-fr
"foutre"-verb-fr "fiki"-verb-eo
"emocia"-adjective-eo "émotif"-adjective-fr
"émotif"-adjective-fr "emocia"-adjective-eo
"commode"-adjective-fr "komforta"-adjective-eo
"komforta"-adjective-eo "commode"-adjective-fr
"skandala"-adjective-eo "criant"-adjective-fr
"criant"-adjective-fr "skandala"-adjective-eo
"maligne"-adjective-fr "maligna"-adjective-eo
"maligna"-adjective-eo "maligne"-adjective-fr
"atterrissage"-noun-fr "surteriĝo"-noun-eo
"surteriĝo"-noun-eo "atterrissage"-noun-fr
"français"-noun-fr "franco"-noun-eo
"franco"-noun-eo "français"-noun-fr
"ekspedicio"-noun-eo "expedition"-noun-fr
"expedition"-noun-fr "ekspedicio"-noun-eo
"lernejano"-noun-eo "scolaire"-noun-fr
"scolaire"-noun-fr "lernejano"-noun-eo
"nuligo"-noun-eo "annulation"-noun-fr
"annulation"-noun-fr "nuligo"-noun-eo
"combles"-noun-fr "subtegmento"-noun-eo
"subtegmento"-noun-eo "combles"-noun-fr
"revolution"-noun-fr "revolucio"-noun-eo
"revolucio"-noun-eo "revolution"-noun-fr
"lutteur"-noun-fr "batalanto"-noun-eo
"batalanto"-noun-eo "lutteur"-noun-fr
"aktivulo"-noun-eo "activiste"-noun-fr
"activiste"-noun-fr "aktivulo"-noun-eo
"arabe"-noun-fr "arabo"-noun-eo
"arabo"-noun-eo "arabe"-noun-fr
"regulation"-noun-fr "regulado"-noun-eo
"regulado"-noun-eo "regulation"-noun-fr
"friandise"-noun-fr "dolĉaĵo"-noun-eo
"dolĉaĵo"-noun-eo "friandise"-noun-fr
"agordo"-noun-eo "syntonie"-noun-fr
"syntonie"-noun-fr "agordo"-noun-eo
"diplômé"-noun-fr "licenciulo"-noun-eo
"licenciulo"-noun-eo "diplômé"-noun-fr
"comtesse"-noun-fr "grafo"-noun-eo
"grafo"-noun-eo "comtesse"-noun-fr
"stulteco"-noun-eo "stupidité"-noun-fr
"stupidité"-noun-fr "stulteco"-noun-eo
"limo"-noun-eo "plafonnement"-noun-fr
"plafonnement"-noun-fr "limo"-noun-eo
"cataclisme"-noun-fr "kataklismo"-noun-eo
"kataklismo"-noun-eo "cataclisme"-noun-fr
"manko"-noun-eo "déficience"-noun-fr
"déficience"-noun-fr "manko"-noun-eo
"farso"-noun-eo "farse"-noun-fr
"farse"-noun-fr "farso"-noun-eo
"incorporation"-noun-fr "aliĝo"-noun-eo
"aliĝo"-noun-eo "incorporation"-noun-fr
"solliciteur"-noun-fr "petanto"-noun-eo
"petanto"-noun-eo "solliciteur"-noun-fr
"grando"-noun-eo "magnitude"-noun-fr
"magnitude"-noun-fr "grando"-noun-eo
"ŝanĝo"-noun-eo "change"-noun-fr
"change"-noun-fr "ŝanĝo"-noun-eo
"kruĉo"-noun-eo "jarre"-noun-fr
"jarre"-noun-fr "kruĉo"-noun-eo
"inspektado"-noun-eo "inspection"-noun-fr
"inspection"-noun-fr "inspektado"-noun-eo
"patronyme"-noun-fr "familinomo"-noun-eo
"familinomo"-noun-eo "patronyme"-noun-fr
"deklivo"-noun-eo "pendant"-noun-fr
"pendant"-noun-fr "deklivo"-noun-eo
"éclatement"-noun-fr "eksplodo"-noun-eo
"eksplodo"-noun-eo "éclatement"-noun-fr
"malliberulo"-noun-eo "reclus"-noun-fr
"reclus"-noun-fr "malliberulo"-noun-eo
